product_id,product_name,review_count,avg_rating,positive_count,negative_count,reference_summary,keywords
P00051,1초 완속 충전 멀티탭 6구,9,2.67,3,6,"‘1초 완속 충전 멀티탭 6구’는 호불호가 갈리는 편이다. 긍정적으로는 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 가격·가성비에 대한 아쉬움을 남겼다.",사용감·관리
P00038,무타공 스테인리스 선반 2단,9,3.67,5,3,"‘무타공 스테인리스 선반 2단’은 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 소재·마감, 내구성에 대한 아쉬움을 남겼다.","배송·포장, 소재·마감, 사용감·관리"
P00053,숏 패딩 점퍼,9,3.0,3,4,"‘숏 패딩 점퍼’는 호불호가 갈리는 편이다. 긍정적으로는 사이즈·핏, 색상, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 색상에 대한 아쉬움을 남겼다.","사이즈·핏, 색상, 사용감·관리"
P00043,모달 차렵이불 SS,8,3.5,3,2,"‘모달 차렵이불 SS’는 대체로 무난하다는 평가가 많다. 긍정적으로는 사이즈·핏, 색상, 소재·마감을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상에 대한 아쉬움을 남겼다.","사이즈·핏, 색상, 소재·마감"
P00033,원목 도마 대형,8,3.38,3,2,"‘원목 도마 대형’은 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 내구성, 사용감·관리에 대한 아쉬움을 남겼다.","가격·가성비, 소재·마감, 사용감·관리"
P00077,1.7L 전기포트,8,3.5,4,2,"‘1.7L 전기포트’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 내구성에 대한 아쉬움을 남겼다.","배송·포장, 가격·가성비, 사용감·관리"
P00022,캔버스 로우 스니커즈,8,3.75,5,1,"‘캔버스 로우 스니커즈’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 가격·가성비, 사이즈·핏을 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 가격·가성비, 사이즈·핏"
P00001,베이직 라운드넥 반팔티,8,3.88,4,0,"‘베이직 라운드넥 반팔티’는 대체로 무난하다는 평가가 많다. 긍정적으로는 사이즈·핏, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","사이즈·핏, 사용감·관리"
P00072,알러지케어 매트리스 커버 Q,8,2.88,2,2,"‘알러지케어 매트리스 커버 Q’는 호불호가 갈리는 편이다. 긍정적으로는 사이즈·핏, 색상을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상에 대한 아쉬움을 남겼다.","사이즈·핏, 색상"
P00005,크롭 후드집업,8,3.0,2,3,"‘크롭 후드집업’은 호불호가 갈리는 편이다. 긍정적으로는 색상, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상에 대한 아쉬움을 남겼다.","색상, 사용감·관리"
P00037,항균 코일 샤워호스,8,3.88,5,1,"‘항균 코일 샤워호스’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 내구성, 사용감·관리에 대한 아쉬움을 남겼다.","배송·포장, 가격·가성비, 사용감·관리"
P00012,에어쿨 기능성 반팔티,8,4.62,8,0,"‘에어쿨 기능성 반팔티’는 전반적으로 만족도가 높은 편이다. 긍정적으로는 사이즈·핏, 색상, 소재·마감을 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","사이즈·핏, 색상, 소재·마감"
P00015,스탠다드 피케 카라티,7,3.29,3,3,"‘스탠다드 피케 카라티’는 호불호가 갈리는 편이다. 긍정적으로는 배송·포장, 색상, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 소재·마감에 대한 아쉬움을 남겼다.","배송·포장, 색상, 사용감·관리"
P00059,경량 구스 다운 베스트,7,3.29,2,2,"‘경량 구스 다운 베스트’는 호불호가 갈리는 편이다. 긍정적으로는 소재·마감을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상, 소재·마감에 대한 아쉬움을 남겼다.",소재·마감
P00031,통3중 스테인리스 냄비 세트,7,4.29,5,0,"‘통3중 스테인리스 냄비 세트’는 전반적으로 만족도가 높은 편이다. 긍정적으로는 배송·포장, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 소재·마감, 사용감·관리"
P00049,저소음 미니 가습기 3L,7,3.43,3,2,"‘저소음 미니 가습기 3L’는 호불호가 갈리는 편이다. 긍정적으로는 배송·포장, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 소재·마감에 대한 아쉬움을 남겼다.","배송·포장, 사용감·관리"
