order_id,customer_id,product_id,product_name,option,quantity,order_amount,ordered_at,order_status,courier,tracking_no,shipped_at,delivered_at
O20260608118,U00287,P00015,스탠다드 피케 카라티,차콜/2XL,3,103800,2026-06-08 21:36,결제완료,,,,
O20260601119,U02674,P00044,구스 10% 베개 2P,인디핑크/Q,1,25100,2026-06-01 13:50,배송중,롯데택배,39581641366,2026-06-02,
O20260612120,U06274,P00007,와이드 슬랙스,카키/30,1,44100,2026-06-12 16:23,배송준비,,,,
O20260522121,U01589,P00040,차전자 밀대 청소포 리필 100매,단일/단일,1,11500,2026-05-22 21:11,배송완료,우체국택배,50881976569,2026-05-23,2026-05-26
O20260612122,U04243,P00058,린넨 뷔스티에 원피스,아이보리/S,1,45500,2026-06-12 15:36,배송완료,CJ대한통운,44697809359,2026-06-13,2026-06-15
O20260526123,U01366,P00049,저소음 미니 가습기 3L,화이트/단일,3,106200,2026-05-26 13:20,배송완료,CJ대한통운,44643451435,2026-05-27,2026-05-28
O20260612124,U03509,P00001,베이직 라운드넥 반팔티,화이트/L,1,42800,2026-06-12 22:47,배송중,CJ대한통운,27318955540,2026-06-13,
O20260502125,U01406,P00026,써지컬 스틸 체인목걸이,블랙/FREE,1,15700,2026-05-02 19:54,배송중,우체국택배,21352274146,2026-05-03,
O20260612126,U00953,P00017,스트레치 치노팬츠,베이지/32,1,44900,2026-06-12 17:53,배송준비,,,,
O20260516127,U00795,P00042,다목적 베이킹소다 세정티슈 80매,단일/단일,1,8200,2026-05-16 14:20,배송준비,,,,
O20260507128,U04427,P00068,이중 유리컵 2P 세트,단일/단일,1,40800,2026-05-07 22:09,배송완료,롯데택배,95966522095,2026-05-08,2026-05-10
O20260521129,U03764,P00062,소가죽 반지갑,블랙/FREE,1,17900,2026-05-21 20:31,결제완료,,,,
O20260609130,U01198,P00040,차전자 밀대 청소포 리필 100매,단일/단일,1,11500,2026-06-09 18:47,결제완료,,,,
