product_id,product_name,category,subcategory,brand,color_options,size_options,list_price,sale_price,discount_rate,stock,avg_rating,review_count,origin,created_at
P00022,캔버스 로우 스니커즈,신발,운동화,스텝업,그레이/화이트/블랙,230/240/250/260/270/280,57500,46000,20,250,4.6,1370,중국,2024-03-08
P00023,15인치 노트북 백팩,가방,백팩,캐리온,그레이/카멜,FREE,75100,75100,0,120,4.7,112,중국,2025-05-13
P00024,데일리 미니 크로스백,가방,백팩,캐리온,그레이/카멜/블랙,FREE,27800,26400,5,250,3.9,464,중국,2024-09-12
P00025,방수 나일론 토트백,가방,백팩,캐리온,카멜/블랙/그레이,FREE,64400,45100,30,250,4.6,515,중국,2025-02-19
P00026,써지컬 스틸 체인목걸이,패션잡화,액세서리,무드앤,블랙/브라운/실버,FREE,22400,15700,30,27,4.2,209,대한민국,2025-03-04
P00027,데일리 가죽 벨트,패션잡화,액세서리,데일리코디,골드/블랙,FREE,26700,24000,10,0,4.9,471,대한민국,2025-04-27
P00028,극세사 양말 5켤레 세트,패션잡화,액세서리,데일리코디,브라운/블랙,FREE,20500,16400,20,120,4.2,1456,대한민국,2025-01-30
P00029,UV차단 와이드 캡모자,패션잡화,액세서리,데일리코디,블랙/골드/브라운,FREE,22600,21500,5,3,4.4,851,대한민국,2025-04-28
P00030,인덕션 겸용 코팅 프라이팬 28cm,주방용품,조리도구,코지홈,단일,단일,41900,33500,20,0,4.4,856,대한민국,2024-02-08
P00031,통3중 스테인리스 냄비 세트,주방용품,조리도구,리빙플러스,단일,단일,31600,26900,15,0,4.7,975,대한민국,2024-05-25
P00032,실리콘 주방도구 7종 세트,주방용품,조리도구,코지홈,단일,단일,74100,66700,10,120,4.5,1289,대한민국,2024-02-28
P00033,원목 도마 대형,주방용품,조리도구,코지홈,단일,단일,59800,41900,30,0,4.0,1529,대한민국,2025-02-02
P00034,유리 밀폐용기 10종 세트,주방용품,보관용기,코지홈,단일,단일,18500,18500,0,3,4.2,1459,대한민국,2024-03-18
P00035,실리콘 지퍼백 대용량 세트,주방용품,보관용기,코지홈,단일,단일,17600,14100,20,250,3.8,1543,대한민국,2025-01-10
P00036,스테인리스 반찬통 4P,주방용품,보관용기,코지홈,단일,단일,28800,27400,5,250,3.7,300,대한민국,2025-02-27
P00037,항균 코일 샤워호스,욕실용품,욕실잡화,리빙플러스,화이트/그레이,단일,19600,19600,0,250,4.4,1068,중국,2024-01-16
P00038,무타공 스테인리스 선반 2단,욕실용품,욕실잡화,리빙플러스,그레이/화이트,단일,21800,19600,10,0,3.9,1224,중국,2024-11-06
P00039,극세사 발매트 2P,욕실용품,욕실잡화,리빙플러스,그레이/화이트,단일,19600,18600,5,27,3.9,620,중국,2024-12-10
P00040,차전자 밀대 청소포 리필 100매,청소용품,청소소모품,리빙플러스,단일,단일,13500,11500,15,250,4.7,595,중국,2025-05-15
P00041,스팀 극세사 물걸레 리필 5매,청소용품,청소소모품,코지홈,단일,단일,9900,7900,20,120,3.7,914,중국,2025-02-24
P00042,다목적 베이킹소다 세정티슈 80매,청소용품,청소소모품,리빙플러스,단일,단일,8200,8200,0,40,3.9,851,중국,2024-09-06
P00043,모달 차렵이불 SS,침구류,침구,슬립앤,인디핑크/라이트그레이/차콜,SS/Q/K,20000,14000,30,15,4.2,1778,대한민국,2024-01-17
P00044,구스 10% 베개 2P,침구류,침구,슬립앤,라이트그레이/차콜/인디핑크,SS/Q/K,25100,25100,0,3,4.0,456,대한민국,2024-11-30
P00045,냉감 인견 여름 패드 Q,침구류,침구,슬립앤,인디핑크/차콜,SS/Q/K,84200,75800,10,27,3.9,623,대한민국,2024-02-04
P00046,논슬립 옷걸이 30개입,수납정리,수납용품,코지홈,아이보리/그레이,단일,19400,19400,0,60,4.6,973,중국,2024-09-05
P00047,다용도 부직포 수납박스 3종,수납정리,수납용품,코지홈,아이보리/그레이,단일,14600,13900,5,3,4.6,1316,중국,2024-09-05
P00048,서랍 정리 칸막이 세트,수납정리,수납용품,코지홈,아이보리/그레이,단일,22700,19300,15,8,4.8,1003,중국,2024-12-03
P00049,저소음 미니 가습기 3L,생활가전,소형가전,코어웨어,블랙/화이트,단일,41700,35400,15,8,4.1,878,중국,2024-12-11
P00050,탁상용 USB 서큘레이터,생활가전,소형가전,코어웨어,화이트/블랙,단일,20700,14500,30,40,4.9,1390,중국,2025-03-21
P00051,1초 완속 충전 멀티탭 6구,생활가전,소형가전,코어웨어,화이트/블랙,단일,31900,28700,10,3,4.0,1227,중국,2024-02-06
P00052,무선 미니 핸디 청소기,생활가전,소형가전,코어웨어,화이트/블랙,단일,50400,50400,0,15,4.4,1301,중국,2024-02-29
P00053,숏 패딩 점퍼,여성의류,아우터,무드앤,카키/베이지,S/M/L,104500,104500,0,8,4.1,924,대한민국,2024-03-20
P00054,오버핏 트렌치 코트,여성의류,아우터,데일리코디,카키/베이지/블랙,S/M/L,55300,47000,15,250,4.2,969,대한민국,2024-04-19
P00055,베이직 데님 자켓,여성의류,아우터,데일리코디,카키/블랙/베이지,S/M/L,51500,36000,30,27,4.6,1439,대한민국,2025-02-20
P00056,플로럴 셔링 원피스,여성의류,원피스,무드앤,아이보리/그린/블랙,S/M/L,45900,43600,5,27,4.7,1435,대한민국,2025-01-13
P00057,니트 롱 원피스,여성의류,원피스,무드앤,블랙/그린/아이보리,S/M/L,38500,38500,0,8,4.1,534,대한민국,2024-11-05
P00058,린넨 뷔스티에 원피스,여성의류,원피스,무드앤,그린/아이보리,S/M/L,50600,45500,10,3,4.4,367,대한민국,2025-04-21
P00059,경량 구스 다운 베스트,남성의류,아우터,어반스텝,블랙/그레이,M/L/XL/2XL,42700,38400,10,120,4.8,981,베트남,2024-07-08
P00060,코치 윈드브레이커,남성의류,아우터,어반스텝,그레이/네이비/블랙,M/L/XL/2XL,32200,29000,10,250,4.8,77,베트남,2025-01-21
P00061,스탠다드 후드 집업,남성의류,아우터,코어웨어,그레이/블랙/네이비,M/L/XL/2XL,74100,66700,10,60,4.5,148,베트남,2024-08-09
P00062,소가죽 반지갑,패션잡화,지갑,캐리온,탄/브라운/블랙,FREE,25600,17900,30,3,4.0,819,대한민국,2025-03-12
P00063,슬림 카드지갑,패션잡화,지갑,캐리온,브라운/블랙,FREE,38200,38200,0,120,4.0,1522,대한민국,2024-11-06
P00064,장지갑 클러치,패션잡화,지갑,캐리온,브라운/블랙,FREE,36600,29300,20,60,3.8,460,대한민국,2025-01-15
P00065,쿠션 풋베드 샌들,신발,샌들/슬리퍼,스텝업,블랙/아이보리,230/240/250/260/270,30400,30400,0,120,4.1,424,중국,2024-01-21
P00066,방수 EVA 슬리퍼,신발,샌들/슬리퍼,스텝업,블랙/아이보리,230/240/250/260/270,12700,12700,0,15,4.3,655,중국,2024-04-06
P00067,북유럽풍 도자기 접시 4P,주방용품,식기,코지홈,단일,단일,13300,12000,10,8,4.4,1661,대한민국,2024-11-02
P00068,이중 유리컵 2P 세트,주방용품,식기,코지홈,단일,단일,40800,40800,0,250,4.3,546,대한민국,2024-02-12
P00069,스테인리스 커트러리 16P,주방용품,식기,코지홈,단일,단일,31300,29700,5,27,3.8,439,대한민국,2024-04-24
P00070,호텔식 베이직 타월 4매,욕실용품,욕실수건,리빙플러스,화이트/그레이,단일,29600,29600,0,60,4.2,1532,대한민국,2025-03-28
P00071,속건 마이크로화이버 타월 3매,욕실용품,욕실수건,리빙플러스,민트/화이트/그레이,단일,12100,12100,0,8,3.7,1521,대한민국,2025-05-12
P00072,알러지케어 매트리스 커버 Q,침구류,패드/커버,슬립앤,화이트/그레이,Q/K,39100,35200,10,60,3.9,1310,대한민국,2025-03-21
P00073,워싱 코튼 베개커버 2P,침구류,패드/커버,슬립앤,그레이/화이트,Q/K,15800,13400,15,250,4.6,617,대한민국,2025-04-17
P00074,이동식 옷걸이 행거,수납정리,행거/선반,코지홈,단일,단일,20300,18300,10,8,4.2,1722,중국,2024-09-09
P00075,조립식 3단 수납 선반,수납정리,행거/선반,코지홈,단일,단일,29900,23900,20,3,4.9,567,중국,2024-03-12
P00076,미니 핸드블렌더,생활가전,주방가전,코어웨어,화이트/블랙,단일,29800,23800,20,120,4.9,940,중국,2024-06-29
P00077,1.7L 전기포트,생활가전,주방가전,코어웨어,블랙/화이트,단일,25100,25100,0,40,3.6,1475,중국,2025-04-27
P00078,2구 인덕션 레인지,생활가전,주방가전,코어웨어,화이트/블랙,단일,58500,58500,0,250,3.8,1319,중국,2024-12-12
