inquiry_id,received_at,channel,customer_id,product_id,inquiry_type,inquiry_text,status
C00024,2026-05-24 23:19,앱,U48394,P00075,교환,"선물 받은 코트인데, 제 체형에는 좀 커서요. 한 사이즈 작은 걸로 받을 수 있을까요?",접수
C00025,2026-05-13 17:28,웹,U05483,P00040,주문결제,"아까 스탠드 조명 결제했는데, 문자 메시지가 두 번 왔어요. 혹시 중복 결제된 건가요?",처리완료
C00026,2026-04-05 20:57,전화,U27536,P00032,회원멤버십,한번 탈퇴하면 다시 가입하는 데 제한이 있나요? 몇 개월 후에 다시 가입하고 싶을 수도 있거든요.,답변완료
C00027,2026-05-06 08:07,카카오톡상담,U20258,P00031,재입고,이 니트 원피스 베이지색은 더 이상 안 나오나요? 너무 예뻐서 꼭 사고 싶어요.,접수
C00028,2026-04-19 04:33,카카오톡상담,U03249,P00023,환불,선물 받은 옷인데 사이즈가 안 맞아서요. 구매자한테 연락하지 않고 제가 이 돈을 다시 받을 수 있는 방법은 없나요?,처리완료
C00029,2026-05-11 23:21,웹,U34971,P00021,환불,"반품 택배는 도착했다고 뜨는데, 왜 아직도 계좌에 돈이 안 들어왔죠? 확인 좀 부탁드립니다.",답변완료
C00030,2026-05-09 03:23,앱,U61695,P00029,주문결제,제 아이디로 로그인했는데 최근 구매 내역이 하나도 안 보여요. 분명 뭘 샀는데…,접수
C00031,2026-05-16 16:35,전화,U40002,P00030,상품정보,디퓨저 용액 리필만 따로 구매 가능한가요?,접수
C00032,2026-04-04 07:08,웹,U52228,P00043,재입고,"아이들 장난감 정리함 민트색 품절이던데, 언제쯤 다시 구매 가능한가요?",처리완료
C00033,2026-04-08 17:45,전화,U46026,P00066,배송문의,"다음주 주말에 이사하는데, 그 전에 꼭 받았으면 좋겠어요. 배송일 지정이 가능할까요? 주문번호는 XXXX입니다.",처리중
C00034,2026-05-24 01:28,전화,U03618,P00015,상품정보,이 가방은 안에 노트북 15인치까지 들어갈까요? 학생이라 수납 공간이 중요해서요.,처리완료
C00035,2026-04-19 08:05,전화,U05015,P00014,환불,"아직 배송 전인데, 주문한 옷 품절됐다고 문자 왔어요. 그럼 결제된 금액은 바로 취소되는 건가요?",처리중
C00036,2026-05-05 13:30,전화,U57200,P00078,상품정보,"식탁 의자 세트 소재가 원목이라고 되어 있는데, 어떤 종류의 원목인지 알 수 있을까요?",답변완료
C00037,2026-05-09 09:34,웹,U33387,P00006,취소,"배송조회 해보니 아직 준비중이던데, 제가 갑자기 다른 지역으로 이사를 가게 되었어요. 택배를 받을 수가 없어서요, 발송하지 말아주시면 안 될까요?",처리중
C00038,2026-04-02 03:56,웹,U47740,P00056,기타,제가 가지고 있는 기프트카드 잔액은 어디서 조회할 수 있나요?,답변완료
C00039,2026-05-04 01:25,전화,U16335,P00039,취소,"[주문번호: 20240520-999000]인데요, 주문했던 스킨케어 세트 재고가 없다고 해서 다른 데서 구매했어요. 이건 안 보내주셔도 됩니다.",처리완료
C00040,2026-05-11 15:37,전화,U52744,P00038,반품,집들이 선물로 산 액자가 깨져서 도착했습니다. 어떻게 조치해야 하나요?,접수
C00041,2026-04-20 15:01,카카오톡상담,U49696,P00023,상품정보,이 티셔츠 비침이 심한가요? 여름이라서 걱정돼서 여쭤봅니다.,처리완료
C00042,2026-05-11 10:13,앱,U39830,P00037,교환,"평소 S 입는데, 이 스커트는 작게 나왔다고 해서 M 주문했어요. 근데 M도 좀 크네요. S가 나을지 다른 상품으로 갈아타야 할지 모르겠어요. 조언 좀 부탁드려요.",접수
C00043,2026-05-13 17:42,전화,U60947,P00057,교환,"새로 산 머그컵에 금이 가 있어요. 깨진 부분이 보이는데, 교환해 주시면 감사하겠습니다.",처리중
C00044,2026-04-22 17:57,카카오톡상담,U22242,P00011,재입고,"홈트용 매트 품절인데, 혹시 다시 들어오면 알려주실 수 있을까요?",처리완료
C00045,2026-05-22 01:05,전화,U12241,P00031,주문결제,"포인트 사용해서 결제하려고 했는데, 적용이 안 된 것 같아요. 다시 결제해야 하나요?",처리완료
C00046,2026-04-23 19:27,웹,U19314,P00004,반품,"구매했던 방향제가 향이 너무 독해서 머리가 아파요. 사용은 한 번 했습니다만, 이걸 계속 두기는 어려울 것 같아요.",답변완료
C00047,2026-04-25 18:31,카카오톡상담,U09546,P00059,재입고,에어프라이어 전용 종이호일 대용량 언제쯤 다시 살 수 있을까요? 다른 건 안 맞아서요.,처리중
C00048,2026-05-27 21:24,웹,U50329,P00064,배송문의,"택배사가 CJ대한통운으로 알고 있는데, 거기랑은 늘 문제가 있어서요. 다른 택배사로 변경은 안 되나요?",처리중
C00049,2026-04-25 16:31,웹,U00727,P00014,재입고,"베이킹 도구 세트 품절인데, 혹시 단종된 건가요? 아니면 다시 나올까요?",처리중
C00050,2026-04-23 05:56,웹,U67890,P00060,배송문의,"주문번호 20240523-XXXXX인데요, 아직 송장번호가 안 뜨는데 언제쯤 확인할 수 있을까요?",답변완료
C00051,2026-05-26 02:50,웹,U15907,P00059,재입고,이 블라우스 그레이 색상 S사이즈 언제쯤 다시 들어올까요? 너무 마음에 들어요.,접수
C00052,2026-05-17 02:41,전화,U58009,P00065,환불,"코트랑 니트 같이 샀는데, 니트만 반품했어요. 니트 가격만 다시 통장으로 들어오는 거죠?",처리중
C00053,2026-05-25 04:38,카카오톡상담,U20862,P00061,회원멤버십,"계정을 탈퇴하고 싶은데, 어떻게 해야 하나요? 마이페이지에서 못 찾겠어요. 너무 복잡하네요.",처리중
C00054,2026-04-27 03:57,웹,U36348,P00067,교환,가디건 색상이 화면이랑 좀 달라서요. 다른 색상으로 변경 가능한가요?,처리중
C00055,2026-04-25 05:28,전화,U57655,P00010,반품,배송 온 에코백 색상이 화면이랑 너무 달라요. 다른 색상으로 바꾸거나 돈을 돌려받고 싶습니다.,처리완료
C00056,2026-04-24 18:24,전화,U44021,P00041,주문결제,"저희 회사에서 쓸 사무용품 몇 가지 구매했는데, 법인카드로 결제했습니다. 세금계산서 발행 가능할까요?",답변완료
C00057,2026-04-15 10:26,웹,U30312,P00050,상품정보,겨울용 패딩 점퍼는 언제쯤 업데이트 되나요? 미리 보고 싶어서요.,접수
C00058,2026-04-22 18:32,앱,U54378,P00053,회원멤버십,"예전에 쓰던 아이디가 생각 안 나는데, 휴대폰 번호로도 찾을 수 있나요? 가입할 때 썼던 번호는 기억합니다.",처리완료
C00059,2026-05-24 16:22,카카오톡상담,U54497,P00008,주문결제,"휴대폰 소액 결제로 구매했는데, 취소하면 바로 한도 복구되나요?",접수
C00060,2026-05-12 19:00,카카오톡상담,U02561,P00074,취소,[주문번호: 20240520-333444] 주문한 여성 가디건. 다시 보니 색상이 마음에 안 들어서요. 아직 발송 안 되었으면 구매 안 하는 걸로 처리 부탁드려요.,처리중
C00061,2026-05-18 07:26,앱,U46106,P00039,교환,"블랙 니트 받았는데, 네이비로 다시 받고 싶어요. 색상이 마음에 안 들어서요.",처리중
C00062,2026-05-12 16:23,웹,U63994,P00029,반품,전에 주문했던 텀블러가 깨져서 도착했어요. 이거 어떻게 처리해야 하나요?,처리완료
C00063,2026-05-14 07:34,카카오톡상담,U03805,P00050,주문결제,무통장입금으로 하려고 하는데 계좌번호가 어디에 나와 있나요?,처리완료
C00064,2026-05-11 06:07,웹,U61262,P00017,주문결제,"결제 오류가 계속 뜨는데, 시스템 문제인가요 아니면 제 카드 문제인가요?",답변완료
C00065,2026-05-10 06:08,앱,U11004,P00055,회원멤버십,"실수로 회원 탈퇴를 눌렀는데, 다시 복구할 수 있나요? 아직 배송 중인 상품도 있거든요. 너무 놀랐어요.",접수
C00066,2026-05-16 19:50,웹,U06591,P00034,재입고,"사무실 슬리퍼 검정색 230 사이즈 품절인데, 이거 곧 다시 들어올까요?",처리중
C00067,2026-05-03 18:47,웹,U59599,P00042,환불,"지난주에 받은 침구세트, 한번 세탁했는데 보풀이 너무 심하게 일어나요. 혹시 이거 돌려드릴 수 있나요?",처리완료
C00068,2026-05-08 19:25,전화,U55256,P00033,환불,"교환하려고 했다가 그냥 취소로 바꾸는 바람에 절차가 복잡해진 것 같은데, 언제쯤 최종적으로 돈이 들어올지 알려주세요.",답변완료
C00069,2026-05-17 15:53,앱,U06827,P00045,교환,새로 온 텀블러 밑부분에 작은 스크래치가 있네요. 티는 많이 안 나지만 기분 상해서 새 것으로 보내주시면 안 될까요?,접수
C00070,2026-04-08 15:53,앱,U04068,P00032,취소,"제가 급하게 필요한 줄 알고 시켰는데, 해외배송이라 너무 오래 걸린다고 하네요. 다른 데서 샀어요. 이건 그냥 발송 안 해주셔도 돼요.",접수
C00071,2026-04-03 23:29,웹,U31267,P00017,회원멤버십,회원가입 페이지에서 약관 동의 후 다음으로 넘어가지 않습니다. 혹시 시스템 문제인가요?,처리중
C00072,2026-04-13 02:32,웹,U60953,P00033,교환,이 제품은 제 스타일이 아닌 것 같아서요. 다른 제품으로 바꿔서 다시 주문하고 싶어요.,처리완료
C00073,2026-04-18 06:58,앱,U21466,P00040,상품정보,세라믹 냄비 세척은 어떻게 해야 가장 오래 사용할 수 있나요? 연마제 사용 여부가 궁금해요.,답변완료
C00074,2026-05-28 04:25,앱,U40889,P00074,재입고,"품절된 실내화 핑크색 240 사이즈, 다시 판매할 계획이 있으신지 궁금합니다.",처리중
C00075,2026-05-10 12:16,웹,U09962,P00076,주문결제,"결제 비밀번호를 여러 번 틀려서 잠겼는데, 어떻게 해제하나요?",접수
C00076,2026-04-11 21:26,전화,U15867,P00073,반품,지난주에 산 블라우스 단추가 하나 떨어졌어요. 입지도 않았는데 이러면 좀 그렇죠.,답변완료
C00077,2026-05-05 17:02,카카오톡상담,U48572,P00009,기타,사이트에서 상품 후기 작성하려고 하는데 페이지가 안 열리네요.,처리완료
C00078,2026-04-03 05:28,카카오톡상담,U64252,P00014,재입고,"전에 샀던 스탠드 조명 다시 사고 싶은데, 지금 품절이네요. 혹시 언제쯤 다시 구매할 수 있을까요?",처리중
C00079,2026-05-07 03:57,카카오톡상담,U20053,P00056,상품정보,그레이 색상 맨투맨 실제 색감이 화면이랑 많이 다른가요? 좀 더 어두운지 밝은지 궁금해요.,접수
C00080,2026-05-22 15:45,전화,U63373,P00060,반품,"사용하지 않은 새 상품인데, 그냥 환불받고 싶어서 연락드렸어요. 어떻게 보내야 할까요?",처리중
C00081,2026-05-29 12:33,전화,U42246,P00032,교환,맨투맨 소매 시보리가 너무 짱짱해서 불편해요. 소매 통이 좀 더 여유 있는 다른 맨투맨으로 보내주세요.,답변완료
C00082,2026-04-29 01:56,카카오톡상담,U31964,P00060,교환,"잠옷 세트 L사이즈가 너무 타이트해서요, XL로 바꾸고 싶습니다.",처리중
C00083,2026-05-04 15:51,앱,U64790,P00042,기타,이번 추석 연휴 기간에는 배송이 어떻게 되는지 궁금합니다. 지연되나요?,접수
C00084,2026-05-19 08:04,웹,U46508,P00034,기타,"가입 시 입력했던 휴대폰 번호를 변경하고 싶은데, 어디서 수정해야 하는지 알려주세요.",처리완료
C00085,2026-04-29 03:39,전화,U01331,P00067,회원멤버십,"개인 정보 보호를 위해 비밀번호를 주기적으로 바꾸라고 하는데, 얼마나 자주 바꾸는 게 좋을까요? 매번 바꾸기도 어렵네요.",접수
C00086,2026-04-10 07:29,웹,U53272,P00063,기타,생일 쿠폰은 언제 자동으로 지급되는 건가요? 제 생일이 이번 달인데 아직 안 들어왔어요.,접수
C00087,2026-05-18 05:22,카카오톡상담,U58744,P00003,회원멤버십,"승승장구몰에 가입하려고 하는데, 본인인증 단계에서 계속 오류가 나네요. 어떻게 해야 하나요?",답변완료
C00088,2026-04-30 13:37,웹,U53006,P00032,배송문의,지난주에 시킨 주방용품 아직 소식이 없네요. 원래 이렇게 오래 걸리나요?,처리완료
C00089,2026-05-28 11:07,전화,U62032,P00071,반품,"주문 번호 12345678 상품, 제가 마음이 바뀌어서요. 보내주시기 전에 취소하고 싶었는데 이미 발송되었네요. 돌려보내는 방법을 알려주세요.",처리완료
C00090,2026-05-13 07:29,전화,U46113,P00059,주문결제,분명히 결제 완료 버튼 눌렀는데 다시 장바구니로 돌아와요. 왜 이러죠?,처리완료
C00091,2026-05-01 18:29,전화,U30218,P00016,회원멤버십,적립금으로 결제할 때 최소 사용 금액 제한이 있나요? 1000원 이하 소액도 사용할 수 있나요?,접수
C00092,2026-05-02 15:16,앱,U24268,P00025,반품,실수로 두 개를 주문했어요. 하나는 도로 가져가 주시면 감사하겠습니다.,접수
C00093,2026-05-19 00:15,전화,U68766,P00077,반품,"조카 주려고 샀는데, 이미 똑같은 게 있다고 하네요. 이거 다시 보내도 될까요?",처리완료
C00094,2026-04-11 18:14,웹,U38830,P00030,기타,특정 브랜드 겨울 신상품은 언제쯤 입고될 예정인지 궁금합니다.,처리완료
C00095,2026-04-19 10:07,전화,U01855,P00069,교환,새 옷인데 옷깃 부분에 얼룩이 작게 묻어있어요. 깨끗한 상품으로 보내주세요.,접수
C00096,2026-04-28 15:11,앱,U07147,P00071,재입고,세라믹 머그컵 그린색 품절 풀릴까요? 물건 들어오면 바로 살 거예요.,처리완료
C00097,2026-04-14 06:15,카카오톡상담,U13447,P00002,상품정보,딸아이 원피스 130사이즈 재입고는 언제쯤 되는지 궁금합니다.,처리완료
C00098,2026-05-17 13:46,카카오톡상담,U57734,P00044,상품정보,모델분 키가 몇이신데 S사이즈 입으신 건가요? 제가 키가 비슷한데 핏감이 궁금해서요.,접수
C00099,2026-04-06 23:42,전화,U62617,P00015,상품정보,이 니트 M사이즈 가슴단면이랑 총장 좀 알려주실 수 있을까요? 상세 페이지에 안 나와 있어서요.,답변완료
C00100,2026-05-10 21:42,카카오톡상담,U09711,P00074,주문결제,"장바구니에 담아둔 옷이랑 생활용품 여러 개가 있는데, 최종 결제 금액이 좀 이상한 것 같아요. 확인해주세요.",답변완료
C00101,2026-04-16 17:32,웹,U39825,P00011,기타,로그인을 하려는데 계속 비밀번호가 틀리다고 나와요. 재설정 링크도 안 오고요.,접수
C00102,2026-04-13 12:00,카카오톡상담,U29582,P00067,재입고,그 접이식 테이블 다시 들어올 예정 없나요? 계속 기다리고 있어요.,처리중
C00103,2026-05-15 17:46,카카오톡상담,U38975,P00076,주문결제,"계좌이체 방식으로 결제하려고 하는데, 계좌 정보가 안 보여요.",처리중
C00104,2026-05-01 15:35,앱,U13007,P00027,기타,고객센터 전화 연결이 너무 힘들어서 여기로 문의드립니다. 교환 신청하려고 하는데 어떻게 해야 할까요?,접수
C00105,2026-04-27 16:40,앱,U20586,P00031,환불,"바지 사이즈가 너무 커서 반품 처리했는데, 언제쯤 다시 돈이 들어올까요?",접수
C00106,2026-05-25 14:14,앱,U20518,P00001,회원멤버십,등급별 혜택이 궁금해요. 상위 등급이 되면 어떤 점이 좋은지 알려주세요. 특히 생일 쿠폰 같은 건 얼마나 주나요?,처리중
C00107,2026-05-15 17:44,카카오톡상담,U38176,P00005,환불,"새로 산 원피스에 실밥이 너무 많이 풀려있어서요. 불량인 것 같은데, 이 돈은 도로 받을 수 있을까요?",접수
C00108,2026-04-29 23:19,전화,U59511,P00010,반품,아동복 티셔츠가 한 번 세탁했는데 줄어들었어요. 이런 경우는 어떻게 해야 하나요?,접수
C00109,2026-04-27 16:27,웹,U55724,P00015,환불,"어제 주문한 티셔츠, 아무래도 취소해야 할 것 같아요. 결제는 어떻게 처리되나요?",접수
C00110,2026-04-16 11:10,전화,U18644,P00010,주문결제,카드 번호 입력까지 다 했는데 '결제 실패'라고 뜨네요. 카드는 정상적인데 왜 그런가요?,답변완료
C00111,2026-04-18 02:37,전화,U37829,P00057,기타,"제가 구매했던 상품이 갑자기 품절 처리되었다고 문자가 왔는데, 어떻게 된 건가요?",답변완료
C00112,2026-05-17 12:08,전화,U52758,P00035,배송문의,"집에 사람이 없을 것 같은데, 문 앞에 놓아달라고 택배 기사님께 요청할 수 있나요?",처리중
C00113,2026-05-14 12:03,앱,U05225,P00056,회원멤버십,"비회원으로 구매한 적이 있는데, 그때 입력했던 정보를 연동해서 가입할 수 있나요?",처리완료
C00114,2026-05-30 14:45,전화,U03391,P00012,교환,바지 허리 부분에 실밥이 너무 심하게 풀려있어요. 새 제품으로 다시 보내주세요.,접수
C00115,2026-05-27 20:18,앱,U35326,P00074,상품정보,이 수납 선반 조립은 쉬운 편인가요? 제가 조립에 좀 약해서요.,답변완료
C00116,2026-04-19 00:13,카카오톡상담,U68022,P00057,취소,주문하고 나니 비슷한 종류의 가전제품이 집에 이미 있더라고요. 제 착각이었네요. 발송 전에 주문 취소하고 싶어요.,처리완료
C00117,2026-04-19 14:54,카카오톡상담,U64452,P00012,환불,배송이 너무 늦어져서 급하게 다른 옷을 샀어요. 주문 취소하고 입금한 금액 돌려받고 싶습니다.,처리중
C00118,2026-05-05 18:48,카카오톡상담,U43688,P00042,회원멤버십,어떤 제품을 구매하면 포인트를 더 많이 받을 수 있나요? 예를 들어 신상품이나 특정 카테고리 같은 거요.,답변완료
C00119,2026-04-17 14:44,전화,U53956,P00064,회원멤버십,"지난번에 구매하고 상품평 썼는데, 적립금이 안 들어왔어요. 확인 좀 해주세요. 벌써 일주일이 넘었네요.",처리완료
C00120,2026-05-10 21:07,앱,U59615,P00012,반품,생각보다 품질이 별로인 것 같아서 구매를 취소하고 싶습니다.,처리완료
C00121,2026-04-26 12:07,전화,U15195,P00052,환불,"전에 적립금으로 일부 결제했는데, 이번에 반품하면 적립금으로 다시 들어오나요 아니면 현금으로 받을 수 있나요?",답변완료
C00122,2026-05-24 16:20,카카오톡상담,U54166,P00007,취소,"생각보다 좀 비싸서 구매를 좀 더 고려해봐야 할 것 같아요. 아직 발송 전이라고 나오던데, 이 주문 취소해주시면 감사하겠습니다.",접수
C00123,2026-05-22 08:03,전화,U65339,P00057,반품,배송비를 부담하더라도 이 물건을 다시 보내고 싶어요. 방법을 알려주세요.,답변완료
C00124,2026-04-21 18:19,전화,U17173,P00037,환불,"여러 개 시켰는데, 그 중 하나만 품절이라서요. 그럼 그 품절된 물건 값만 다시 돌려받는 건가요?",처리중
C00125,2026-05-19 01:27,앱,U03784,P00078,환불,얼마 전에 받은 그릇 세트 중 하나가 깨져서 왔어요. 이 부분은 결제한 금액에서 빼주시는 거죠?,접수
C00126,2026-04-17 09:02,전화,U01793,P00071,취소,"안녕하세요, 배달 음식 시킨다고 생각하고 주문을 해버렸네요. 제가 뭘 한 건지... 이거 주문 잘못한 거예요! 보내지 마세요!",처리중
C00127,2026-04-11 01:11,웹,U14872,P00060,회원멤버십,"가지고 있는 적립금이 얼마인지, 그리고 언제까지 쓸 수 있는지 알고 싶어요. 소멸 예정인 포인트도 있는지요?",답변완료
C00128,2026-04-16 22:46,카카오톡상담,U38255,P00066,반품,"오늘 배송받은 원피스가 생각보다 길이가 너무 짧아서 그런데, 이거 다시 보내드리고 환불받을 수 있을까요?",처리완료
C00129,2026-05-12 08:09,카카오톡상담,U61895,P00032,상품정보,이불 세트 극세사 소재는 먼지가 많이 나는 편인가요? 기관지가 안 좋아서 신경 쓰이네요.,처리중
C00130,2026-05-25 12:32,웹,U50278,P00025,취소,"안녕하세요, 제가 이전에 주문했던 잠옷 세트가 아직 도착을 안 해서요. 같은 걸 하나 더 주문했는데, 지금 보니 이전 주문건이 곧 도착할 것 같네요. 방금 주문한 건은 그냥 진행하지 않아도 괜찮아요.",접수
C00131,2026-04-08 18:40,전화,U54388,P00044,환불,사진이랑 옷 색깔이 너무 달라서 입을 수가 없네요. 보내면 다시 결제 취소 해주시는 거죠?,처리완료
C00132,2026-04-02 05:58,전화,U39133,P00076,재입고,"이 쿠션 커버 네이비 색상, 혹시 다음 달쯤엔 다시 판매될까요?",처리중
C00133,2026-04-16 10:15,카카오톡상담,U63484,P00045,취소,"어제 밤 10시쯤에 구매한 컵 세트 말인데요, 갑자기 지출이 너무 많아져서 좀 부담스럽네요. 혹시 아직 발송 안 됐으면 주문 취소 부탁드립니다.",처리완료
C00134,2026-05-25 14:03,카카오톡상담,U59683,P00042,주문결제,결제일이 주말이었는데 다음주 월요일에 결제된다고 하네요? 맞나요?,접수
C00135,2026-04-25 04:27,카카오톡상담,U30614,P00053,기타,"상품 선물하기 기능이 있다고 들었는데, 포장 서비스도 같이 이용할 수 있나요?",답변완료
C00136,2026-05-02 21:24,카카오톡상담,U49969,P00050,반품,제 노트북이 고장 나서 이제 필요 없어졌어요. 택배비 내고 다시 보내드릴게요.,접수
C00137,2026-05-20 02:11,앱,U16548,P00065,반품,"청바지 사이즈가 작아서 안 맞아요. L로 교환하고 싶은데, 혹시 재고 없으면 그냥 구매 취소하고 싶어요.",처리완료
C00138,2026-04-11 17:51,카카오톡상담,U13070,P00068,교환,원피스 무늬가 사진이랑 좀 다르게 느껴져서요. 무늬 없는 다른 디자인으로 변경 가능할까요?,처리중
C00139,2026-04-03 11:45,웹,U53737,P00020,취소,"안녕하세요, 어제 밤에 주문한 티셔츠랑 바지인데요, 마음이 바뀌어서요. 아직 발송 전이면 이 주문 취소 처리 부탁드립니다.",답변완료
C00140,2026-05-17 13:59,전화,U44376,P00051,환불,반품 접수한지 며칠 됐는데 아직 카드 취소 문자가 안 와서요. 언제쯤 처리될 예정인가요?,답변완료
C00141,2026-05-03 21:36,카카오톡상담,U41506,P00063,기타,매일 출석체크 이벤트는 언제까지 진행되나요?,답변완료
C00142,2026-04-08 15:25,웹,U37668,P00030,주문결제,"칫솔이랑 세제 샀는데, 앱에서 결제 오류가 계속 발생해요. 웹사이트에서 해야 하나요?",답변완료
C00143,2026-05-14 03:13,앱,U13174,P00057,상품정보,주황색 스커트 다른 사이즈도 추가될 예정이 있나요? S사이즈가 품절이라서요.,접수
C00144,2026-05-01 01:48,앱,U06029,P00042,회원멤버십,외국인도 가입 가능한가요? 외국인 등록번호 같은 걸로 가입할 수 있는지 궁금합니다.,답변완료
C00145,2026-04-30 11:35,전화,U49132,P00056,교환,"운동화 240 사이즈가 딱 맞을 줄 알았는데, 좀 답답하네요. 245로 한 치수 큰 걸로 보내주실 수 있을까요?",접수
C00146,2026-04-25 17:01,카카오톡상담,U23601,P00022,배송문의,"사이즈가 안 맞아서 바지를 반품하고 싶은데, 반품할 때 배송비는 제가 부담해야 하는 건가요?",접수
C00147,2026-04-09 16:00,카카오톡상담,U31567,P00064,반품,주문한 수건이 색깔이 다르게 왔어요. 확인 후 다시 보내주세요.,접수
C00148,2026-04-24 13:02,카카오톡상담,U33290,P00059,환불,"식탁 매트 하나가 살짝 찢어져서 왔는데, 제가 잘못 뜯은 건지 원래 그랬던 건지 모르겠어요. 일단 돌려보내면 이 부분은 계산 안 하는 거죠?",처리완료
C00149,2026-04-02 21:53,카카오톡상담,U37701,P00070,배송문의,다른 날짜에 주문한 두 건을 묶어서 한꺼번에 보내주시면 안 될까요? 배송비가 아까워서요.,접수
C00150,2026-04-09 04:06,카카오톡상담,U45294,P00076,회원멤버십,가족 아이디로도 적립금을 같이 사용할 수 있나요? 아니면 통합해서 쓸 수 있는 방법이 있는지 궁금합니다.,처리완료
C00151,2026-05-13 04:42,전화,U59879,P00039,회원멤버십,탈퇴하면 그동안 쌓인 적립금이랑 구매 내역은 다 사라지는 건가요? 혹시 나중에 다시 볼 수 없나요?,접수
C00152,2026-05-09 08:24,카카오톡상담,U13980,P00031,배송문의,승승장구몰에서 알려준 송장번호 조회해보니 없는 번호라고 나오네요. 다시 확인해서 알려주세요.,처리중
