inquiry_id,product_id,product_name,inquiry_topic,inquiry_text,created_at
Q00037,P00070,호텔식 베이직 타월 4매,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-03-20 04:42
Q00038,P00063,슬림 카드지갑,용량,슬림 카드지갑에 노트북이랑 텀블러까지 같이 들어갈 정도 용량인가요?,2026-03-03 17:35
Q00039,P00033,원목 도마 대형,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-03-09 14:53
Q00040,P00050,탁상용 USB 서큘레이터,재입고,블랙 품절인데 재입고 예정 있나요?,2026-03-17 23:43
Q00041,P00033,원목 도마 대형,용량,원목 도마 대형 용량이 4인 가족이 쓰기에 넉넉한 편인가요?,2026-03-22 13:29
Q00042,P00077,1.7L 전기포트,전력,전기요금 많이 나오나요? 소비전력이 어느 정도인지 궁금해요.,2026-04-17 14:54
Q00043,P00078,2구 인덕션 레인지,사용법,2구 인덕션 레인지 처음 써보는데 사용법 설명서가 같이 동봉되나요?,2026-05-06 05:30
Q00044,P00011,조거 트레이닝 팬츠,색상,라이트블루 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-03-30 17:41
Q00045,P00042,다목적 베이킹소다 세정티슈 80매,사용법,"물에 적셔서 쓰는 건가요, 마른 상태로 그냥 쓰는 건가요?",2026-03-28 06:59
Q00046,P00051,1초 완속 충전 멀티탭 6구,전력,전기요금 많이 나오나요? 소비전력이 어느 정도인지 궁금해요.,2026-04-10 16:29
Q00047,P00029,UV차단 와이드 캡모자,색상,골드 색상 실물이 사진이랑 많이 다른가요? 변색 걱정도 되고요.,2026-03-25 04:03
Q00048,P00049,저소음 미니 가습기 3L,배송,지금 주문하면 언제 받아볼 수 있나요?,2026-05-05 01:02
Q00049,P00006,고밀도 코튼 셔츠,소재,여름에 입기 시원한 소재인가요? 땀 차면 달라붙는지 궁금합니다.,2026-04-08 05:38
Q00050,P00072,알러지케어 매트리스 커버 Q,소재,촉감이 까슬한 편인가요 부드러운 편인가요? 세탁하면 보풀 생기나요?,2026-04-02 17:25
Q00051,P00037,항균 코일 샤워호스,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-04-09 12:05
Q00052,P00039,극세사 발매트 2P,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-05-05 06:59
Q00053,P00001,베이직 라운드넥 반팔티,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-03-25 06:17
Q00054,P00070,호텔식 베이직 타월 4매,규격,호텔식 베이직 타월 4매 실제 사이즈(가로세로높이)가 어떻게 되나요? 설치 공간을 재보려고요.,2026-03-07 09:45
Q00055,P00072,알러지케어 매트리스 커버 Q,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-04-05 02:10
Q00056,P00025,방수 나일론 토트백,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-03-23 17:02
Q00057,P00077,1.7L 전기포트,소음,밤에 켜두고 자도 될 만큼 조용한 편인가요? 소음 어느 정도예요?,2026-04-09 21:37
Q00058,P00065,쿠션 풋베드 샌들,착화감,오래 걸어도 발 안 아픈가요? 쿠션감이 어떤지 궁금해요.,2026-04-15 06:03
Q00059,P00072,알러지케어 매트리스 커버 Q,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-03-12 21:30
Q00060,P00015,스탠다드 피케 카라티,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-03-16 21:44
Q00061,P00034,유리 밀폐용기 10종 세트,사용법,유리 밀폐용기 10종 세트 인덕션에서도 사용 가능한가요? 가스레인지 전용은 아니죠?,2026-04-30 01:41
Q00062,P00005,크롭 후드집업,색상,블랙 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-28 03:49
Q00063,P00013,헤비코튼 무지 맨투맨,색상,블랙 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-03-09 17:37
Q00064,P00007,와이드 슬랙스,사이즈,와이드 슬랙스 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-13 00:53
Q00065,P00041,스팀 극세사 물걸레 리필 5매,배송,지금 주문하면 모레까지 받을 수 있나요?,2026-03-31 20:10
Q00066,P00046,논슬립 옷걸이 30개입,배송,지금 주문하면 모레까지 받을 수 있나요? 이사 전에 필요해서요.,2026-04-11 07:57
Q00067,P00055,베이직 데님 자켓,색상,카키 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-04-26 00:32
Q00068,P00018,와이드 데님 팬츠,사이즈,평소 30 사이즈 입는데 이 제품도 30로 사면 정사이즈로 맞을까요?,2026-04-17 00:56
Q00069,P00011,조거 트레이닝 팬츠,사이즈,조거 트레이닝 팬츠 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-05-06 06:17
Q00070,P00004,셔링 블라우스,색상,베이지 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-03-09 18:53
Q00071,P00008,하이웨스트 청바지,색상,라이트블루 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-21 17:54
Q00072,P00062,소가죽 반지갑,재입고,탄 품절인데 재입고 예정 잡혀 있나요?,2026-03-29 01:08
Q00073,P00010,플리츠 롱스커트,사이즈,플리츠 롱스커트 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-12 11:35
Q00074,P00006,고밀도 코튼 셔츠,사이즈,키 168에 표준 체형인데 M 입으면 기장이랑 핏이 어느 정도 나올까요?,2026-04-30 15:29
Q00075,P00050,탁상용 USB 서큘레이터,사용법,탁상용 USB 서큘레이터 처음 써보는데 사용법 설명서가 같이 동봉되나요?,2026-03-15 12:47
Q00076,P00009,코튼 밴딩 팬츠,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-01 21:50
Q00077,P00012,에어쿨 기능성 반팔티,사이즈,에어쿨 기능성 반팔티 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-05-04 01:04
Q00078,P00057,니트 롱 원피스,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-03-26 22:17
Q00079,P00059,경량 구스 다운 베스트,재입고,그레이 XL 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-04-05 18:23
Q00080,P00047,다용도 부직포 수납박스 3종,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-03-07 01:07
Q00081,P00019,릴렉스핏 트레이닝 팬츠,색상,베이지 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-03-18 17:07
Q00082,P00034,유리 밀폐용기 10종 세트,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-05-03 02:15
Q00083,P00029,UV차단 와이드 캡모자,용량,UV차단 와이드 캡모자에 노트북이랑 텀블러까지 같이 들어갈 정도 용량인가요?,2026-04-01 17:17
Q00084,P00001,베이직 라운드넥 반팔티,색상,화이트 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-04-20 09:18
Q00085,P00023,15인치 노트북 백팩,재입고,카멜 품절인데 재입고 예정 잡혀 있나요?,2026-03-30 03:21
Q00086,P00005,크롭 후드집업,소재,크롭 후드집업 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-03-06 21:48
Q00087,P00005,크롭 후드집업,색상,화이트 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-11 14:54
Q00088,P00044,구스 10% 베개 2P,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-03-09 02:29
Q00089,P00033,원목 도마 대형,소재,코팅이나 재질이 유해물질 없이 안전한 소재인가요?,2026-03-14 04:38
Q00090,P00029,UV차단 와이드 캡모자,배송,지금 주문하면 출고가 언제 되나요? 선물용이라 좀 급해요.,2026-04-16 14:30
Q00091,P00061,스탠다드 후드 집업,사이즈,평소 XL 사이즈 입는데 이 제품도 XL로 사면 정사이즈로 맞을까요?,2026-05-02 12:15
Q00092,P00001,베이직 라운드넥 반팔티,사이즈,키 168에 표준 체형인데 XL 입으면 기장이랑 핏이 어느 정도 나올까요?,2026-03-06 11:12
Q00093,P00018,와이드 데님 팬츠,재입고,인디고 36 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-23 10:14
Q00094,P00021,경량 러닝화,재입고,블랙 230 품절인데 재입고 계획 있나요?,2026-04-24 12:04
Q00095,P00019,릴렉스핏 트레이닝 팬츠,사이즈,키 168에 표준 체형인데 32 입으면 기장이랑 핏이 어느 정도 나올까요?,2026-05-04 15:23
Q00096,P00005,크롭 후드집업,사이즈,평소 L 사이즈 입는데 이 제품도 L로 사면 정사이즈로 맞을까요?,2026-04-30 22:31
Q00097,P00042,다목적 베이킹소다 세정티슈 80매,배송,지금 주문하면 모레까지 받을 수 있나요?,2026-04-12 04:34
Q00098,P00021,경량 러닝화,재입고,블랙 240 품절인데 재입고 계획 있나요?,2026-04-15 10:53
Q00099,P00025,방수 나일론 토트백,용량,방수 나일론 토트백에 노트북이랑 텀블러까지 같이 들어갈 정도 용량인가요?,2026-05-03 16:37
Q00100,P00010,플리츠 롱스커트,재입고,그레이 29 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-14 14:37
Q00101,P00047,다용도 부직포 수납박스 3종,소재,재질이 물에 강한 편인가요? 곰팡이나 변색 걱정은 없을까요?,2026-03-06 10:53
Q00102,P00037,항균 코일 샤워호스,배송,지금 주문하면 모레까지 받을 수 있나요? 이사 전에 필요해서요.,2026-04-21 01:45
Q00103,P00018,와이드 데님 팬츠,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-08 20:48
Q00104,P00014,옥스포드 카라셔츠,소재,여름에 입기 시원한 소재인가요? 땀 차면 달라붙는지 궁금합니다.,2026-04-14 08:25
Q00105,P00004,셔링 블라우스,배송,지금 주문하면 모레까지 받아볼 수 있을까요? 주말 전에 필요해서요.,2026-03-28 23:56
Q00106,P00065,쿠션 풋베드 샌들,색상,아이보리 색상 실물 톤이 화면이랑 비슷한가요?,2026-05-03 21:06
Q00107,P00037,항균 코일 샤워호스,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-22 21:35
Q00108,P00017,스트레치 치노팬츠,배송,지금 주문하면 모레까지 받아볼 수 있을까요? 주말 전에 필요해서요.,2026-04-14 20:24
Q00109,P00068,이중 유리컵 2P 세트,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-03-16 04:02
Q00110,P00029,UV차단 와이드 캡모자,재입고,브라운 품절인데 재입고 예정 잡혀 있나요?,2026-04-30 19:17
Q00111,P00016,경량 바람막이 자켓,색상,네이비 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-03-28 21:54
Q00112,P00013,헤비코튼 무지 맨투맨,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-01 21:44
Q00113,P00041,스팀 극세사 물걸레 리필 5매,사용법,"물에 적셔서 쓰는 건가요, 마른 상태로 그냥 쓰는 건가요?",2026-04-16 21:32
Q00114,P00015,스탠다드 피케 카라티,재입고,블랙 M 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-09 09:12
Q00115,P00043,모달 차렵이불 SS,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-03-15 21:19
Q00116,P00015,스탠다드 피케 카라티,소재,스탠다드 피케 카라티 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-04-28 11:39
Q00117,P00011,조거 트레이닝 팬츠,사이즈,평소 30 사이즈 입는데 이 제품도 30로 사면 정사이즈로 맞을까요?,2026-03-27 08:20
Q00118,P00070,호텔식 베이직 타월 4매,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-10 02:49
Q00119,P00017,스트레치 치노팬츠,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-10 09:15
Q00120,P00055,베이직 데님 자켓,재입고,베이지 S 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-05-02 08:07
Q00121,P00032,실리콘 주방도구 7종 세트,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-03-13 09:38
Q00122,P00036,스테인리스 반찬통 4P,사용법,스테인리스 반찬통 4P 인덕션에서도 사용 가능한가요? 가스레인지 전용은 아니죠?,2026-03-25 17:22
Q00123,P00013,헤비코튼 무지 맨투맨,소재,여름에 입기 시원한 소재인가요? 땀 차면 달라붙는지 궁금합니다.,2026-03-18 04:10
Q00124,P00065,쿠션 풋베드 샌들,색상,블랙 색상 실물 톤이 화면이랑 비슷한가요?,2026-04-26 04:51
Q00125,P00022,캔버스 로우 스니커즈,착화감,오래 걸어도 발 안 아픈가요? 쿠션감이 어떤지 궁금해요.,2026-05-05 15:04
Q00126,P00001,베이직 라운드넥 반팔티,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-05 23:20
Q00127,P00005,크롭 후드집업,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-03-26 22:51
Q00128,P00005,크롭 후드집업,재입고,블랙 M 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-04-04 00:44
Q00129,P00017,스트레치 치노팬츠,사이즈,스트레치 치노팬츠 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-07 06:45
Q00130,P00059,경량 구스 다운 베스트,사이즈,평소 2XL 사이즈 입는데 이 제품도 2XL로 사면 정사이즈로 맞을까요?,2026-03-22 19:52
Q00131,P00008,하이웨스트 청바지,소재,여름에 입기 시원한 소재인가요? 땀 차면 달라붙는지 궁금합니다.,2026-05-08 16:59
Q00132,P00025,방수 나일론 토트백,색상,그레이 색상 실물이 사진이랑 많이 다른가요? 변색 걱정도 되고요.,2026-05-06 08:56
Q00133,P00033,원목 도마 대형,소재,코팅이나 재질이 유해물질 없이 안전한 소재인가요?,2026-04-09 13:29
Q00134,P00075,조립식 3단 수납 선반,내구성,오래 써도 녹슬거나 휘지 않나요? 내구성이 어떤지 궁금해요.,2026-03-03 08:29
Q00135,P00065,쿠션 풋베드 샌들,색상,블랙 색상 실물 톤이 화면이랑 비슷한가요?,2026-05-03 13:22
Q00136,P00050,탁상용 USB 서큘레이터,호환,기존에 쓰던 제품이랑 호환되는 규격인가요? 같이 써도 되나요?,2026-03-29 01:07
Q00137,P00005,크롭 후드집업,재입고,화이트 L 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-04-11 08:46
Q00138,P00041,스팀 극세사 물걸레 리필 5매,사용법,"물에 적셔서 쓰는 건가요, 마른 상태로 그냥 쓰는 건가요?",2026-04-28 17:14
Q00139,P00039,극세사 발매트 2P,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-20 23:52
Q00140,P00077,1.7L 전기포트,재입고,화이트 품절인데 재입고 예정 있나요?,2026-04-08 18:27
Q00141,P00030,인덕션 겸용 코팅 프라이팬 28cm,재입고,품절이던데 재입고 예정 있나요? 알림 신청하면 연락 오나요?,2026-03-28 19:31
Q00142,P00044,구스 10% 베개 2P,관리,가정용 세탁기로 통째로 세탁 가능한가요? 건조기도 돌려도 되나요?,2026-03-09 02:59
Q00143,P00066,방수 EVA 슬리퍼,색상,아이보리 색상 실물 톤이 화면이랑 비슷한가요?,2026-03-24 18:58
Q00144,P00004,셔링 블라우스,배송,지금 주문하면 모레까지 받아볼 수 있을까요? 주말 전에 필요해서요.,2026-04-18 05:07
Q00145,P00070,호텔식 베이직 타월 4매,소재,재질이 물에 강한 편인가요? 곰팡이나 변색 걱정은 없을까요?,2026-03-02 01:33
Q00146,P00076,미니 핸드블렌더,호환,기존에 쓰던 제품이랑 호환되는 규격인가요? 같이 써도 되나요?,2026-03-22 10:07
Q00147,P00014,옥스포드 카라셔츠,소재,여름에 입기 시원한 소재인가요? 땀 차면 달라붙는지 궁금합니다.,2026-03-03 23:24
Q00148,P00036,스테인리스 반찬통 4P,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-11 18:28
Q00149,P00076,미니 핸드블렌더,배송,지금 주문하면 언제 받아볼 수 있나요?,2026-03-28 08:56
Q00150,P00019,릴렉스핏 트레이닝 팬츠,재입고,인디고 34 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-23 15:32
Q00151,P00005,크롭 후드집업,소재,크롭 후드집업 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-04-10 20:13
Q00152,P00060,코치 윈드브레이커,사이즈,코치 윈드브레이커 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-01 17:51
Q00153,P00029,UV차단 와이드 캡모자,재입고,골드 품절인데 재입고 예정 잡혀 있나요?,2026-04-18 12:07
Q00154,P00009,코튼 밴딩 팬츠,사이즈,코튼 밴딩 팬츠 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-03-10 00:03
Q00155,P00023,15인치 노트북 백팩,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-05-02 14:02
Q00156,P00030,인덕션 겸용 코팅 프라이팬 28cm,용량,인덕션 겸용 코팅 프라이팬 28cm 용량이 4인 가족이 쓰기에 넉넉한 편인가요?,2026-05-07 06:27
Q00157,P00019,릴렉스핏 트레이닝 팬츠,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-03-02 02:54
Q00158,P00072,알러지케어 매트리스 커버 Q,관리,가정용 세탁기로 통째로 세탁 가능한가요? 건조기도 돌려도 되나요?,2026-04-24 02:31
Q00159,P00031,통3중 스테인리스 냄비 세트,용량,통3중 스테인리스 냄비 세트 용량이 4인 가족이 쓰기에 넉넉한 편인가요?,2026-03-28 18:01
Q00160,P00037,항균 코일 샤워호스,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-27 00:26
Q00161,P00021,경량 러닝화,사이즈,발볼이 넓은 편인데 240 신으면 좀 끼나요? 한 치수 크게 갈까요?,2026-03-18 17:36
Q00162,P00021,경량 러닝화,착화감,오래 걸어도 발 안 아픈가요? 쿠션감이 어떤지 궁금해요.,2026-05-02 10:19
Q00163,P00059,경량 구스 다운 베스트,재입고,블랙 M 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-05 13:12
Q00164,P00024,데일리 미니 크로스백,배송,지금 주문하면 출고가 언제 되나요? 선물용이라 좀 급해요.,2026-04-10 05:26
Q00165,P00026,써지컬 스틸 체인목걸이,선물,선물 포장이랑 메시지 카드 넣어주는 서비스도 되나요?,2026-05-06 03:31
Q00166,P00060,코치 윈드브레이커,사이즈,코치 윈드브레이커 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-03-26 19:28
Q00167,P00050,탁상용 USB 서큘레이터,배송,지금 주문하면 언제 받아볼 수 있나요?,2026-03-23 10:18
Q00168,P00048,서랍 정리 칸막이 세트,설치,"무타공으로 설치하는 건가요, 아니면 나사로 고정해야 하나요?",2026-04-10 16:28
Q00169,P00022,캔버스 로우 스니커즈,재입고,그레이 260 품절인데 재입고 계획 있나요?,2026-03-21 11:29
Q00170,P00022,캔버스 로우 스니커즈,착화감,오래 걸어도 발 안 아픈가요? 쿠션감이 어떤지 궁금해요.,2026-04-28 12:18
Q00171,P00058,린넨 뷔스티에 원피스,재입고,아이보리 S 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-03-17 07:44
Q00172,P00029,UV차단 와이드 캡모자,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-03-24 04:25
Q00173,P00065,쿠션 풋베드 샌들,색상,아이보리 색상 실물 톤이 화면이랑 비슷한가요?,2026-05-04 20:06
Q00174,P00030,인덕션 겸용 코팅 프라이팬 28cm,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-03-02 01:53
Q00175,P00047,다용도 부직포 수납박스 3종,규격,다용도 부직포 수납박스 3종 실제 사이즈(가로세로높이)가 어떻게 되나요? 설치 공간을 재보려고요.,2026-03-06 14:40
Q00176,P00056,플로럴 셔링 원피스,재입고,그린 L 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-04-25 15:55
Q00177,P00045,냉감 인견 여름 패드 Q,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-03-24 00:21
Q00178,P00021,경량 러닝화,색상,화이트 색상 실물 톤이 화면이랑 비슷한가요?,2026-05-07 00:27
Q00179,P00063,슬림 카드지갑,색상,브라운 색상 실물이 사진이랑 많이 다른가요? 변색 걱정도 되고요.,2026-04-07 15:17
Q00180,P00007,와이드 슬랙스,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-05-03 11:46
Q00181,P00033,원목 도마 대형,배송,지금 주문하면 모레까지 받을 수 있나요? 집들이 전에 필요해서요.,2026-04-20 03:27
Q00182,P00013,헤비코튼 무지 맨투맨,색상,차콜 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-03 17:43
Q00183,P00013,헤비코튼 무지 맨투맨,재입고,블랙 2XL 품절인데 재입고 예정 있나요? 언제쯤 들어오나요?,2026-05-04 16:37
Q00184,P00077,1.7L 전기포트,배송,지금 주문하면 언제 받아볼 수 있나요?,2026-04-18 10:46
Q00185,P00005,크롭 후드집업,소재,크롭 후드집업 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-03-17 08:40
