log_id,timestamp,channel,user_type,query,predicted_intent,confidence,route,source_doc,latency_ms,fallback,feedback
LOG00025,2026-06-03 19:38:00,앱,고객,상품이 마음에 안 들 것 같아서 받기 전에 미리 취소할게요. 빠른 답변 부탁드려요.,취소,0.81,응용/안내,,3117,N,좋아요
LOG00026,2026-06-03 13:24:00,앱,고객,끈 길이 조절이 되나요? 키 작은 아이가 메도 괜찮을까요? 빠른 답변 부탁드려요.,상품정보,0.57,고객CS-RAG,membership_policy,2329,Y,싫어요
LOG00027,2026-06-02 14:47:00,카카오톡상담,고객,받은 지 일주일 됐는데 아직 반품 신청 기간 안 지났죠? 빠른 답변 부탁드려요.,반품,0.76,고객CS-RAG,product_care_guide,1396,N,좋아요
LOG00028,2026-06-02 18:32:00,웹,고객,리뷰 한 줄 요약 부탁,-,0.93,응용-번역,,4191,N,좋아요
LOG00029,2026-06-13 16:41:00,카카오톡상담,고객,주문번호로 실시간 배송 위치 확인할 수 있는 링크 있을까요?,배송문의,0.75,고객CS-RAG,product_care_guide,940,N,좋아요
LOG00030,2026-06-12 07:18:00,카카오톡상담,고객,수고 많으세요. 배송 출발하면 문자로 알림 받을 수 있나요?,배송문의,0.66,고객CS-RAG,product_care_guide,2396,N,좋아요
LOG00031,2026-06-07 14:32:00,앱,고객,문의드립니다. 환불 처리 상태를 어디서 확인할 수 있나요? 감사합니다.,환불,0.66,고객CS-RAG,membership_policy,2657,N,좋아요
LOG00032,2026-06-08 20:07:00,앱,고객,문의드립니다. 지금 취소 누르면 적립금이랑 쿠폰은 다시 복구되나요?,취소,0.84,응용/안내,,2413,N,싫어요
LOG00033,2026-06-11 06:00:00,카카오톡상담,고객,세트 구성이 어떻게 되나요? 사진에 나온 거 다 포함인가요?,상품정보,0.8,고객CS-RAG,product_care_guide,2665,N,좋아요
LOG00034,2026-06-07 09:40:00,앱,직원,도서구입비 지원 얼마인가요?,-,0.93,사내규정-RAG,employee_regulations,2129,N,좋아요
LOG00035,2026-06-04 05:54:00,웹,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.63,사내규정-RAG,hr_policy,1829,N,싫어요
LOG00036,2026-06-04 08:04:00,앱,고객,적립금 유효기간이 얼마예요? 곧 소멸되는 게 있나요? 감사합니다.,회원멤버십,0.7,고객CS-RAG,membership_policy,2993,N,좋아요
LOG00037,2026-06-12 14:15:00,카카오톡상담,고객,수량을 잘못 주문해서 통째로 취소하고 정정 주문하고 싶어요. 확인 부탁드립니다.,취소,0.67,응용/안내,,1534,N,좋아요
LOG00038,2026-06-12 06:49:00,카카오톡상담,고객,문의드립니다. 결제일이랑 환불일이 다른 달인데 카드값에 어떻게 반영돼요?,환불,0.9,고객CS-RAG,membership_policy,2431,N,좋아요
LOG00039,2026-06-08 19:04:00,카카오톡상담,고객,문의드립니다. 선물포장 서비스 되나요? 메시지 카드도 넣을 수 있어요?,기타,0.71,응용/안내,,2793,N,좋아요
LOG00040,2026-06-03 01:00:00,카카오톡상담,고객,해외 상품 설명 번역해줘,-,0.77,응용-번역,,3625,N,좋아요
LOG00041,2026-06-01 23:39:00,웹,고객,문의드립니다. 개인정보 처리방침은 어디서 확인할 수 있나요?,기타,0.82,응용/안내,,2529,N,좋아요
LOG00042,2026-06-06 05:57:00,웹,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.97,사내규정-RAG,hr_policy,1451,N,좋아요
LOG00043,2026-06-14 04:35:00,웹,고객,안녕하세요. 지금 출고됐나요? 빠른배송으로 받아볼 수 있는지 궁금해요.,배송문의,0.9,고객CS-RAG,product_care_guide,802,N,좋아요
LOG00044,2026-06-03 03:05:00,앱,직원,출장 경비 정산 기한이 어떻게 되나요?,-,0.73,사내규정-RAG,employee_regulations,996,N,좋아요
LOG00045,2026-06-08 09:30:00,카카오톡상담,고객,수고 많으세요. 앱 알림 설정을 끄고 싶은데 메뉴를 못 찾겠어요.,기타,0.85,응용/안내,,989,N,좋아요
LOG00046,2026-06-08 07:42:00,앱,고객,교환 신청하면 회수랑 재배송이 동시에 진행되나요?,교환,0.74,고객CS-RAG,return_exchange_policy,1126,N,좋아요
LOG00047,2026-06-04 22:18:00,웹,고객,수고 많으세요. 이 운동화 쿠션감이 좋은 편인가요? 오래 걸어도 편한지요.,상품정보,0.75,고객CS-RAG,return_exchange_policy,2177,N,좋아요
LOG00048,2026-06-04 17:17:00,앱,고객,리뷰 한 줄 요약 부탁,-,0.84,응용-요약,,3454,N,싫어요
LOG00049,2026-06-02 15:23:00,카카오톡상담,고객,문의드립니다. 재입고 알림 여러 상품 걸어놨는데 한꺼번에 관리할 수 있나요?,재입고,0.77,고객CS-RAG,shipping_policy,1780,N,싫어요
LOG00050,2026-06-07 02:52:00,카카오톡상담,고객,리뷰 한 줄 요약 부탁,-,0.82,응용-요약,,4169,N,좋아요
LOG00051,2026-06-01 20:24:00,카카오톡상담,고객,수고 많으세요. 첫 구매 할인 코드를 넣었는데 적용이 안 되네요. 만료된 건가요?,주문결제,0.82,응용/안내,,1901,N,좋아요
LOG00052,2026-06-07 20:25:00,앱,고객,문의드립니다. 이 모델 무게가 얼마나 나가나요? 들고 다니기 무겁지 않을까요?,상품정보,0.81,고객CS-RAG,shipping_policy,3121,N,좋아요
LOG00053,2026-06-11 04:58:00,카카오톡상담,고객,결제 완료 메일을 못 받았는데 주문이 들어간 게 맞나요? 감사합니다.,주문결제,0.8,응용/안내,,1140,N,좋아요
LOG00054,2026-06-11 17:58:00,카카오톡상담,고객,단순 변심 반품인데 반품 배송비가 얼마나 차감되나요? 빠른 답변 부탁드려요.,반품,0.73,고객CS-RAG,return_exchange_policy,1183,N,좋아요
LOG00055,2026-06-05 16:15:00,카카오톡상담,직원,연차 1년 차면 며칠인가요?,-,0.65,사내규정-RAG,hr_policy,1504,N,싫어요
LOG00056,2026-06-08 01:15:00,앱,고객,부분 반품했는데 그만큼만 환불되는 게 맞나요? 금액이 이상해요. 감사합니다.,환불,0.9,고객CS-RAG,faq,2362,N,좋아요
LOG00057,2026-06-08 20:32:00,웹,직원,도서구입비 지원 얼마인가요?,-,0.71,사내규정-RAG,employee_regulations,2096,N,좋아요
LOG00058,2026-06-09 20:07:00,웹,고객,이 상품 리뷰 요약해줘,-,0.93,응용-요약,,1969,N,좋아요
LOG00059,2026-06-05 01:59:00,카카오톡상담,고객,받자마자 깨져 있어서 반품하려고 하는데 사진 보내드릴까요? 감사합니다.,반품,0.88,고객CS-RAG,product_care_guide,1044,N,좋아요
LOG00060,2026-06-07 13:14:00,웹,고객,어제 결제했는데 아직 배송 시작도 안 했어요. 송장번호 언제 나오나요?,배송문의,0.6,고객CS-RAG,product_care_guide,2662,N,좋아요
LOG00061,2026-06-09 21:47:00,카카오톡상담,고객,리뷰 적립금은 언제 들어오나요? 어제 썼는데 아직이에요. 빠른 답변 부탁드려요.,회원멤버십,0.78,고객CS-RAG,shipping_policy,2510,N,좋아요
LOG00062,2026-06-10 03:42:00,앱,고객,"문의드립니다. 재입고되면 따로 연락 주시나요, 아니면 알림이 오나요?",재입고,0.74,고객CS-RAG,membership_policy,1855,N,좋아요
LOG00063,2026-06-13 07:04:00,웹,직원,재택근무 주 며칠까지 가능한가요?,-,0.76,사내규정-RAG,hr_policy,2331,N,좋아요
LOG00064,2026-06-11 10:55:00,카카오톡상담,직원,도서구입비 지원 얼마인가요?,-,0.63,사내규정-RAG,hr_policy,695,N,좋아요
LOG00065,2026-06-06 02:52:00,앱,고객,실수로 두 번 주문했어요. 하나만 주문 취소해 주세요.,취소,0.65,응용/안내,,2393,N,좋아요
LOG00066,2026-06-10 18:28:00,카카오톡상담,고객,안녕하세요. 극세사 양말 5켤레 세트 언제 받을 수 있어요? 주말 전에 꼭 필요해서요.,배송문의,0.71,고객CS-RAG,shipping_policy,2955,N,좋아요
LOG00067,2026-06-13 08:24:00,웹,직원,재택근무 주 며칠까지 가능한가요?,-,0.68,사내규정-RAG,employee_regulations,1255,N,좋아요
LOG00068,2026-06-10 09:18:00,카카오톡상담,고객,앱에서 다크모드는 어떻게 설정하나요? 빠른 답변 부탁드려요.,기타,0.57,응용/안내,,3119,Y,좋아요
LOG00069,2026-06-04 07:48:00,카카오톡상담,직원,배우자 출산휴가 일수 알려주세요.,-,0.81,사내규정-RAG,employee_regulations,1886,N,좋아요
LOG00070,2026-06-01 02:56:00,카카오톡상담,고객,다른 옵션으로 바꾸고 싶은데 재고 있으면 교환해 주세요. 확인 부탁드립니다.,교환,0.65,고객CS-RAG,faq,1515,N,좋아요
LOG00071,2026-06-07 14:04:00,카카오톡상담,고객,안녕하세요. 오프라인 매장도 있나요? 직접 보고 사고 싶어서요. 감사합니다.,기타,0.72,응용/안내,,1338,N,싫어요
LOG00072,2026-06-13 13:45:00,앱,고객,문의드립니다. 써보니 저랑 안 맞아서 반품하고 싶어요. 반품 주소 알려주세요.,반품,0.57,고객CS-RAG,faq,2963,Y,좋아요
LOG00073,2026-06-12 22:34:00,웹,고객,해외 상품 설명 번역해줘,-,0.89,응용-번역,,1258,N,싫어요
LOG00074,2026-06-05 23:52:00,앱,직원,재택근무 주 며칠까지 가능한가요?,-,0.83,사내규정-RAG,hr_policy,2180,N,좋아요
LOG00075,2026-06-09 17:33:00,앱,고객,수고 많으세요. 환불 예정일이 지났는데도 입금이 안 됐어요. 확인 부탁드려요.,환불,0.97,고객CS-RAG,shipping_policy,1834,N,싫어요
LOG00076,2026-06-14 21:14:00,웹,고객,리뷰 한 줄 요약 부탁,-,0.96,응용-요약,,3655,N,좋아요
LOG00077,2026-06-09 04:43:00,카카오톡상담,고객,안녕하세요. 색상이 화면이랑 너무 달라서 반품할게요.,반품,0.98,고객CS-RAG,return_exchange_policy,3147,N,좋아요
LOG00078,2026-06-03 19:56:00,카카오톡상담,고객,수고 많으세요. 회원 등급별 혜택을 한눈에 볼 수 있는 페이지가 있나요?,회원멤버십,0.72,고객CS-RAG,faq,2032,N,싫어요
LOG00079,2026-06-11 19:00:00,웹,고객,기부 캠페인 참여하려면 어떻게 하면 되나요? 확인 부탁드립니다.,기타,0.83,응용/안내,,2176,N,싫어요
LOG00080,2026-06-04 04:06:00,웹,고객,해외 상품 설명 번역해줘,-,0.83,응용-번역,,1135,N,좋아요
LOG00081,2026-06-08 20:29:00,카카오톡상담,고객,품절된 제품 재입고 알림 신청했는데 언제쯤 들어와요? 감사합니다.,재입고,0.74,고객CS-RAG,membership_policy,2010,N,좋아요
LOG00082,2026-06-03 22:23:00,앱,고객,재입고 알림 여러 상품 걸어놨는데 한꺼번에 관리할 수 있나요? 확인 부탁드립니다.,재입고,0.57,고객CS-RAG,membership_policy,1176,Y,좋아요
LOG00083,2026-06-09 11:35:00,카카오톡상담,고객,안녕하세요. 환불은 됐다는데 부분 금액만 들어와서 나머지가 궁금해요.,환불,0.61,고객CS-RAG,shipping_policy,2720,N,좋아요
LOG00084,2026-06-01 10:25:00,웹,고객,프린트가 비뚤게 인쇄돼서 멀쩡한 걸로 교환해 주세요.,교환,0.72,고객CS-RAG,return_exchange_policy,2628,N,좋아요
LOG00085,2026-06-03 00:38:00,앱,고객,"문의드립니다. 세탁기로 돌려도 되나요, 손세탁만 해야 하나요? 빠른 답변 부탁드려요.",상품정보,0.69,고객CS-RAG,return_exchange_policy,2217,N,싫어요
LOG00086,2026-06-05 15:23:00,카카오톡상담,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.91,사내규정-RAG,hr_policy,2151,N,좋아요
LOG00087,2026-06-14 04:38:00,앱,직원,연차 1년 차면 며칠인가요?,-,0.9,사내규정-RAG,employee_regulations,1331,N,좋아요
LOG00088,2026-06-14 06:37:00,카카오톡상담,고객,문의드립니다. 배송조회하니 사흘째 같은 자리인데 지금 어디쯤 와 있나요?,배송문의,0.59,고객CS-RAG,return_exchange_policy,2220,Y,싫어요
LOG00089,2026-06-12 22:13:00,카카오톡상담,고객,문의드립니다. 환불 처리됐다고 문자 왔는데 통장에 아직 안 들어왔어요.,환불,0.63,고객CS-RAG,membership_policy,2884,N,좋아요
LOG00090,2026-06-11 16:38:00,웹,고객,이 상품 리뷰 요약해줘,-,0.75,응용-요약,,2008,N,좋아요
LOG00091,2026-06-01 16:14:00,카카오톡상담,고객,등급은 언제 갱신되나요? 매달 초인가요?,회원멤버십,0.62,고객CS-RAG,shipping_policy,871,N,좋아요
LOG00092,2026-06-09 04:08:00,카카오톡상담,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.62,사내규정-RAG,hr_policy,1289,N,좋아요
LOG00093,2026-06-07 05:49:00,카카오톡상담,고객,해외 상품 설명 번역해줘,-,0.8,응용-요약,,3314,N,싫어요
LOG00094,2026-06-11 22:50:00,카카오톡상담,직원,배우자 출산휴가 일수 알려주세요.,-,0.63,사내규정-RAG,employee_regulations,1696,N,싫어요
LOG00095,2026-06-06 07:13:00,웹,고객,문의드립니다. 부분 반품했는데 그만큼만 환불되는 게 맞나요? 금액이 이상해요. 감사합니다.,환불,0.97,고객CS-RAG,return_exchange_policy,1639,N,좋아요
LOG00096,2026-06-13 07:17:00,웹,고객,해외 상품 설명 번역해줘,-,0.9,응용-번역,,901,N,좋아요
LOG00097,2026-06-03 01:28:00,웹,고객,같은 상품 다른 색상으로 교환도 되나요?,교환,0.66,고객CS-RAG,membership_policy,1441,N,싫어요
LOG00098,2026-06-14 08:02:00,웹,고객,이 상품 리뷰 요약해줘,-,0.85,응용-번역,,3961,N,좋아요
LOG00099,2026-06-14 18:59:00,앱,직원,재택근무 주 며칠까지 가능한가요?,-,0.92,사내규정-RAG,employee_regulations,1663,N,좋아요
LOG00100,2026-06-07 17:29:00,웹,고객,사진이랑 실물 품질 차이가 너무 커서 반품 신청합니다.,반품,0.69,고객CS-RAG,product_care_guide,1540,N,좋아요
LOG00101,2026-06-09 13:17:00,카카오톡상담,고객,문의드립니다. 환승 물류센터에서 며칠째 멈춰 있는데 분실된 건 아닌지요.,배송문의,0.6,고객CS-RAG,membership_policy,1770,N,좋아요
LOG00102,2026-06-05 01:48:00,웹,고객,수고 많으세요. 급해서 그러는데 퀵이나 당일배송으로 변경 가능할까요? 빠른 답변 부탁드려요.,배송문의,0.73,고객CS-RAG,membership_policy,2721,N,좋아요
LOG00103,2026-06-09 15:25:00,웹,직원,본인 결혼 휴가 며칠이에요?,-,0.77,사내규정-RAG,hr_policy,2271,N,싫어요
LOG00104,2026-06-13 10:06:00,앱,직원,병가 진단서 언제 내야 하나요?,-,0.92,사내규정-RAG,hr_policy,1137,N,좋아요
LOG00105,2026-06-05 07:39:00,앱,고객,수고 많으세요. 쿠폰을 적용했는데 최소 주문금액 미달이라고 떠요. 조건이 뭐예요? 확인 부탁드립니다.,주문결제,0.51,응용/안내,,2001,Y,좋아요
LOG00106,2026-06-10 21:09:00,카카오톡상담,고객,문의드립니다. 오프라인 매장도 있나요? 직접 보고 사고 싶어서요. 감사합니다.,기타,0.94,응용/안내,,1476,N,좋아요
LOG00107,2026-06-03 21:07:00,카카오톡상담,고객,문의드립니다. 식기세척기에 넣고 돌려도 괜찮은 재질인가요? 확인 부탁드립니다.,상품정보,0.82,고객CS-RAG,faq,1082,N,좋아요
LOG00108,2026-06-07 15:11:00,앱,고객,써보니 저랑 안 맞아서 반품하고 싶어요. 반품 주소 알려주세요.,반품,0.74,고객CS-RAG,membership_policy,834,N,좋아요
LOG00109,2026-06-08 04:41:00,카카오톡상담,고객,급해서 그러는데 퀵이나 당일배송으로 변경 가능할까요?,배송문의,0.59,고객CS-RAG,faq,2619,Y,싫어요
LOG00110,2026-06-03 21:58:00,앱,직원,배우자 출산휴가 일수 알려주세요.,-,0.99,사내규정-RAG,hr_policy,1945,N,좋아요
LOG00111,2026-06-01 20:18:00,앱,고객,이 상품 리뷰 요약해줘,-,0.88,응용-번역,,1445,N,좋아요
LOG00112,2026-06-14 22:14:00,앱,직원,재택근무 주 며칠까지 가능한가요?,-,0.63,사내규정-RAG,employee_regulations,2082,N,싫어요
LOG00113,2026-06-11 23:39:00,카카오톡상담,고객,문의드립니다. 주문할 때 부재중이라 편의점 픽업으로 바꿀 수 있나요? 확인 부탁드립니다.,배송문의,0.75,고객CS-RAG,membership_policy,3011,N,좋아요
LOG00114,2026-06-11 13:49:00,카카오톡상담,고객,문의드립니다. 무통장입금 했는데 입금확인이 아직도 안 됐다고 나와요.,주문결제,0.53,응용/안내,,882,Y,좋아요
LOG00115,2026-06-05 05:37:00,앱,고객,리뷰 한 줄 요약 부탁,-,0.71,응용-번역,,1234,N,좋아요
LOG00116,2026-06-07 09:19:00,웹,고객,재고가 없어서 배송이 늦어진다는데 그러면 취소할게요.,취소,0.52,응용/안내,,2498,Y,좋아요
LOG00117,2026-06-02 10:01:00,앱,직원,도서구입비 지원 얼마인가요?,-,0.75,사내규정-RAG,hr_policy,1075,N,좋아요
LOG00118,2026-06-02 06:05:00,웹,직원,출장 경비 정산 기한이 어떻게 되나요?,-,0.95,사내규정-RAG,hr_policy,2184,N,좋아요
LOG00119,2026-06-01 00:09:00,앱,직원,본인 결혼 휴가 며칠이에요?,-,0.72,사내규정-RAG,hr_policy,1305,N,싫어요
LOG00120,2026-06-01 20:50:00,웹,고객,수고 많으세요. 배송이 너무 오래 걸려서 그냥 주문 자체를 취소하고 싶어요. 감사합니다.,취소,0.65,응용/안내,,1994,N,좋아요
LOG00121,2026-06-02 11:55:00,웹,직원,병가 진단서 언제 내야 하나요?,-,0.62,사내규정-RAG,hr_policy,1512,N,싫어요
LOG00122,2026-06-07 06:04:00,앱,고객,해외 상품 설명 번역해줘,-,0.77,응용-요약,,1835,N,좋아요
LOG00123,2026-06-10 14:11:00,카카오톡상담,직원,연차 1년 차면 며칠인가요?,-,0.8,사내규정-RAG,employee_regulations,2192,N,좋아요
LOG00124,2026-06-04 03:51:00,카카오톡상담,직원,연차 1년 차면 며칠인가요?,-,0.69,사내규정-RAG,hr_policy,714,N,좋아요
LOG00125,2026-06-08 11:33:00,앱,고객,문의드립니다. 출고 전이라고 안내받았는데 취소 접수 좀 서둘러 주세요. 확인 부탁드립니다.,취소,0.53,응용/안내,,3135,Y,좋아요
LOG00126,2026-06-06 17:35:00,웹,직원,도서구입비 지원 얼마인가요?,-,0.74,사내규정-RAG,hr_policy,2112,N,싫어요
LOG00127,2026-06-05 06:28:00,웹,고객,이 상품 리뷰 요약해줘,-,0.77,응용-요약,,2928,N,싫어요
LOG00128,2026-06-08 23:13:00,앱,고객,안녕하세요. 선물포장 서비스 되나요? 메시지 카드도 넣을 수 있어요?,기타,0.67,응용/안내,,2643,N,좋아요
LOG00129,2026-06-10 14:57:00,앱,고객,이 상품 리뷰 요약해줘,-,0.84,응용-요약,,2401,N,좋아요
LOG00130,2026-06-09 07:31:00,카카오톡상담,고객,환승 물류센터에서 며칠째 멈춰 있는데 분실된 건 아닌지요.,배송문의,0.77,고객CS-RAG,product_care_guide,2297,N,좋아요
LOG00131,2026-06-13 14:34:00,웹,고객,이 상품 리뷰 요약해줘,-,0.97,응용-번역,,1427,N,싫어요
LOG00132,2026-06-12 23:00:00,웹,고객,해외 상품 설명 번역해줘,-,0.7,응용-번역,,1813,N,좋아요
LOG00133,2026-06-11 19:46:00,앱,직원,병가 진단서 언제 내야 하나요?,-,0.84,사내규정-RAG,hr_policy,802,N,좋아요
LOG00134,2026-06-02 08:31:00,앱,직원,본인 결혼 휴가 며칠이에요?,-,0.99,사내규정-RAG,hr_policy,1125,N,좋아요
LOG00135,2026-06-04 15:04:00,앱,고객,사이즈가 안 맞아서 한 치수 큰 걸로 교환하고 싶어요.,교환,0.82,고객CS-RAG,faq,2863,N,좋아요
LOG00136,2026-06-07 11:50:00,카카오톡상담,고객,문의드립니다. 결제했는데 주문내역에 안 보여요. 정상 결제된 거 맞나요?,주문결제,0.89,응용/안내,,2805,N,좋아요
LOG00137,2026-06-04 11:08:00,카카오톡상담,고객,안녕하세요. 인기 상품이라 그런지 늘 없네요. 재입고 주기가 어떻게 되나요?,재입고,0.57,고객CS-RAG,product_care_guide,3181,Y,싫어요
LOG00138,2026-06-07 02:05:00,앱,고객,주문한 상품 중에 하나만 빼고 나머지는 취소하고 싶어요.,취소,0.74,응용/안내,,2504,N,좋아요
LOG00139,2026-06-09 11:14:00,카카오톡상담,고객,안녕하세요. 수량을 잘못 주문해서 통째로 취소하고 정정 주문하고 싶어요.,취소,0.77,응용/안내,,1380,N,좋아요
LOG00140,2026-06-10 23:11:00,웹,고객,문의드립니다. 이 옷 소재가 뭐예요? 비치는지도 알려주세요. 감사합니다.,상품정보,0.99,고객CS-RAG,product_care_guide,842,N,좋아요
LOG00141,2026-06-14 10:29:00,카카오톡상담,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.82,사내규정-RAG,employee_regulations,2181,N,좋아요
LOG00142,2026-06-01 22:40:00,앱,고객,현금영수증 신청을 깜빡했는데 사후 발급 가능한가요? 빠른 답변 부탁드려요.,주문결제,0.95,응용/안내,,2566,N,좋아요
LOG00143,2026-06-05 08:46:00,앱,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.76,사내규정-RAG,employee_regulations,2461,N,좋아요
LOG00144,2026-06-10 19:07:00,카카오톡상담,직원,배우자 출산휴가 일수 알려주세요.,-,0.65,사내규정-RAG,employee_regulations,1143,N,좋아요
LOG00145,2026-06-05 09:02:00,웹,고객,세금계산서 발행도 가능한가요? 사업자로 구매하려고요. 확인 부탁드립니다.,기타,0.86,응용/안내,,3153,N,좋아요
LOG00146,2026-06-01 20:33:00,카카오톡상담,고객,해외 상품 설명 번역해줘,-,0.78,응용-번역,,2145,N,좋아요
LOG00147,2026-06-04 00:13:00,앱,고객,수고 많으세요. 적립금으로 결제한 부분은 환불도 적립금으로 돌아오나요?,환불,0.74,고객CS-RAG,membership_policy,2329,N,좋아요
LOG00148,2026-06-08 16:27:00,웹,고객,"안녕하세요. 재입고 알림은 앱 푸시로 오나요, 문자로 오나요?",재입고,0.92,고객CS-RAG,product_care_guide,1934,N,좋아요
LOG00149,2026-06-06 20:29:00,앱,고객,수고 많으세요. 무통장입금 했는데 입금확인이 아직도 안 됐다고 나와요. 빠른 답변 부탁드려요.,주문결제,0.73,응용/안내,,2647,N,싫어요
LOG00150,2026-06-10 14:43:00,웹,고객,수고 많으세요. 적립금하고 쿠폰을 같은 주문에 둘 다 쓸 수 있나요? 확인 부탁드립니다.,회원멤버십,0.58,고객CS-RAG,return_exchange_policy,731,Y,싫어요
LOG00151,2026-06-07 09:34:00,웹,고객,해외카드로도 결제가 되나요? 자꾸 승인 거절이 떠요.,주문결제,0.89,응용/안내,,817,N,좋아요
LOG00152,2026-06-14 09:10:00,카카오톡상담,고객,수고 많으세요. 해외 배송도 되나요? 외국에 있는 가족에게 보내려고요. 감사합니다.,기타,0.52,응용/안내,,946,Y,싫어요
LOG00153,2026-06-03 03:50:00,앱,고객,특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요. 확인 부탁드립니다.,재입고,0.57,고객CS-RAG,membership_policy,1702,Y,좋아요
LOG00154,2026-06-02 09:24:00,카카오톡상담,고객,무통장입금 했는데 입금확인이 아직도 안 됐다고 나와요.,주문결제,0.61,응용/안내,,2168,N,좋아요
LOG00155,2026-06-06 06:39:00,카카오톡상담,고객,협업이나 입점 문의는 어디로 연락드리면 되나요?,기타,0.89,응용/안내,,1922,N,좋아요
