inquiry_id,text,label
TR00043,수고 많으세요. 해외 배송도 되나요? 외국에 있는 가족에게 보내려고요. 감사합니다.,기타
TR00044,안녕하세요. 이 색상만 계속 품절인데 다시 들어올 예정 있나요? 감사합니다.,재입고
TR00045,세트 구성이 어떻게 되나요? 사진에 나온 거 다 포함인가요? 확인 부탁드립니다.,상품정보
TR00046,문의드립니다. 선물받은 상품인데 영수증 없이도 반품할 수 있나요?,반품
TR00047,예약 주문한 건데 출시 전에 취소도 가능한가요? 빠른 답변 부탁드려요.,취소
TR00048,재입고 알림 신청했는데 알림이 안 와요. 확인 부탁드려요. 감사합니다.,재입고
TR00049,쿠폰 잘못 써서 취소하고 다시 제대로 적용해서 주문할게요. 빠른 답변 부탁드려요.,취소
TR00050,안녕하세요. 불량이라 같은 걸로 교환 원해요. 교환 배송비는 안 드는 거죠? 감사합니다.,교환
TR00051,안녕하세요. 현관 앞 말고 택배함에 넣어달라고 요청할 수 있나요? 감사합니다.,배송문의
TR00052,수고 많으세요. 색상이 모니터마다 다르게 보이던데 실제 톤이 어떤가요? 감사합니다.,상품정보
TR00053,제주도인데 배송 며칠 걸려요? 도착 예정일 알려주세요. 감사합니다.,배송문의
TR00054,수고 많으세요. 선물포장 서비스 되나요? 메시지 카드도 넣을 수 있어요? 감사합니다.,기타
TR00055,문의드립니다. 결제 금액이 장바구니 합계랑 다르게 청구됐어요. 확인 부탁해요. 확인 부탁드립니다.,주문결제
TR00056,문의드립니다. 배송 시작 전에 취소 부탁드려요. 급하게 처리해 주세요. 빠른 답변 부탁드려요.,취소
TR00057,안녕하세요. 개인정보 처리방침은 어디서 확인할 수 있나요? 빠른 답변 부탁드려요.,기타
TR00058,다음 입고 물량은 언제쯤 풀리는지 대략이라도 알 수 있을까요? 빠른 답변 부탁드려요.,재입고
TR00059,"세탁기로 돌려도 되나요, 손세탁만 해야 하나요? 감사합니다.",상품정보
TR00060,문의드립니다. 결제는 됐는데 재고가 없다고 다시 연락이 왔어요. 어떻게 되나요?,주문결제
TR00061,주문번호로 실시간 배송 위치 확인할 수 있는 링크 있을까요? 확인 부탁드립니다.,배송문의
TR00062,안녕하세요. 버튼이 하나 빠져 있어서 새것으로 교환 요청드려요. 확인 부탁드립니다.,교환
TR00063,현금영수증 신청을 깜빡했는데 사후 발급 가능한가요? 확인 부탁드립니다.,주문결제
TR00064,선물포장 서비스 되나요? 메시지 카드도 넣을 수 있어요?,기타
TR00065,회사 단체주문인데 한 건 잘못 들어가서 그 건만 취소 부탁드려요. 확인 부탁드립니다.,취소
TR00066,문의드립니다. 앱에서 다크모드는 어떻게 설정하나요? 감사합니다.,기타
TR00067,문의드립니다. 적립금하고 쿠폰을 같은 주문에 둘 다 쓸 수 있나요?,회원멤버십
TR00068,문의드립니다. 현금영수증 발급된 건인데 환불하면 그것도 취소되나요?,환불
TR00069,안녕하세요. 세트 구성이 어떻게 되나요? 사진에 나온 거 다 포함인가요? 감사합니다.,상품정보
TR00070,안녕하세요. 이 운동화 쿠션감이 좋은 편인가요? 오래 걸어도 편한지요.,상품정보
TR00071,선물할 거라 더 큰 사이즈로 교환하고 싶은데 가능할까요?,교환
TR00072,은행 점검 시간이라 입금이 안 됐는데 주문이 취소될까 봐 걱정돼요. 확인 부탁드립니다.,주문결제
TR00073,아직 상품 준비중이던데 지금 취소하면 바로 되나요?,취소
TR00074,수고 많으세요. 첫 구매 할인 코드를 넣었는데 적용이 안 되네요. 만료된 건가요? 감사합니다.,주문결제
TR00075,사진이랑 실물 품질 차이가 너무 커서 반품 신청합니다.,반품
TR00076,등급은 언제 갱신되나요? 매달 초인가요? 감사합니다.,회원멤버십
TR00077,전에 쓰던 제품이랑 호환되는 규격인지 확인하고 싶어요.,상품정보
TR00078,식기세척기에 넣고 돌려도 괜찮은 재질인가요? 빠른 답변 부탁드려요.,상품정보
TR00079,안녕하세요. 이 색상은 시즌 한정이라 재입고가 아예 안 되는 건가요?,재입고
TR00080,환불 계좌를 바꾸고 싶은데 어떻게 하나요? 감사합니다.,환불
TR00081,선물받은 상품인데 영수증 없이도 반품할 수 있나요?,반품
TR00082,안녕하세요. 두께가 어느 정도예요? 겨울에 입어도 따뜻할까요?,상품정보
TR00083,상품이 마음에 안 들 것 같아서 받기 전에 미리 취소할게요. 빠른 답변 부탁드려요.,취소
TR00084,예전에 팔던 모델인데 재입고 가능성이 있을까요? 확인 부탁드립니다.,재입고
TR00085,안녕하세요. 끈 길이 조절이 되나요? 키 작은 아이가 메도 괜찮을까요? 빠른 답변 부탁드려요.,상품정보
TR00086,재입고됐다고 알림 받고 들어왔는데 벌써 또 품절이네요.,재입고
TR00087,문의드립니다. 현관 앞 말고 택배함에 넣어달라고 요청할 수 있나요?,배송문의
TR00088,안녕하세요. 탈퇴했다가 다시 가입하면 예전 등급이 유지되나요?,회원멤버십
TR00089,수고 많으세요. 환불 처리 상태를 어디서 확인할 수 있나요? 빠른 답변 부탁드려요.,환불
TR00090,안녕하세요. 신발 좌우 사이즈가 달라서 정상 제품으로 교환하고 싶어요.,교환
TR00091,안녕하세요. 환불 처리됐다고 문자 왔는데 통장에 아직 안 들어왔어요. 확인 부탁드립니다.,환불
TR00092,안녕하세요. 두 개 주문 중 하나만 취소했는데 환불액 계산이 맞는지 봐주세요.,환불
TR00093,수고 많으세요. 주문서에서 수량을 잘못 넣어 결제됐어요. 금액 정정이 되나요? 빠른 답변 부탁드려요.,주문결제
TR00094,이 신발 발볼 넓은 편인가요? 평소 발볼 넓은데요. 빠른 답변 부탁드려요.,상품정보
TR00095,이 색상은 시즌 한정이라 재입고가 아예 안 되는 건가요? 감사합니다.,재입고
TR00096,안녕하세요. 구성품 중 하나가 빠져서 왔는데 이 경우도 반품되나요? 확인 부탁드립니다.,반품
TR00097,협업이나 입점 문의는 어디로 연락드리면 되나요? 확인 부탁드립니다.,기타
TR00098,주문번호로 실시간 배송 위치 확인할 수 있는 링크 있을까요? 빠른 답변 부탁드려요.,배송문의
TR00099,수고 많으세요. 쿠폰 잘못 써서 취소하고 다시 제대로 적용해서 주문할게요. 확인 부탁드립니다.,취소
TR00100,세금계산서 발행도 가능한가요? 사업자로 구매하려고요. 감사합니다.,기타
TR00101,수고 많으세요. 같은 상품 다른 색상으로 교환도 되나요?,교환
TR00102,지금 취소 누르면 적립금이랑 쿠폰은 다시 복구되나요? 감사합니다.,취소
TR00103,수고 많으세요. 두께가 어느 정도예요? 겨울에 입어도 따뜻할까요? 빠른 답변 부탁드려요.,상품정보
TR00104,버튼이 하나 빠져 있어서 새것으로 교환 요청드려요.,교환
TR00105,문의드립니다. 한 번 신어봤는데 사이즈가 영 아니라 반품하려고요.,반품
TR00106,문의드립니다. 오늘 도착 예정이라고 떴는데 아직도 안 왔어요. 몇 시쯤 와요? 확인 부탁드립니다.,배송문의
TR00107,안녕하세요. 배송지를 잘못 적었는데 출고 전이면 주소 바꿀 수 있나요? 빠른 답변 부탁드려요.,배송문의
TR00108,문의드립니다. 가지고 있는 쿠폰이 결제창에서 적용이 안 돼요. 왜 그럴까요? 확인 부탁드립니다.,주문결제
TR00109,"수고 많으세요. 반품 회수 박스는 따로 준비해야 하나요, 원래 박스 쓰면 되나요?",반품
TR00110,수고 많으세요. 결제 취소 요청한 금액이 일부만 환불됐어요. 나머지는요?,환불
TR00111,모달 차렵이불 SS 품절이던데 재입고 계획 있는지 궁금해요. 감사합니다.,재입고
TR00112,이 화장품 성분에 향료가 들어 있나요? 민감성 피부라서요. 빠른 답변 부탁드려요.,상품정보
TR00113,간편결제로 했는데 승인 문자만 오고 주문은 안 들어갔어요.,주문결제
TR00114,색상이 화면이랑 너무 달라서 반품할게요. 감사합니다.,반품
TR00115,안녕하세요. 법인카드로 결제하면 지출증빙용 영수증도 따로 받을 수 있나요? 확인 부탁드립니다.,주문결제
TR00116,문의드립니다. 간편결제로 했는데 승인 문자만 오고 주문은 안 들어갔어요. 빠른 답변 부탁드려요.,주문결제
TR00117,문의드립니다. 해외 배송도 되나요? 외국에 있는 가족에게 보내려고요. 확인 부탁드립니다.,기타
TR00118,앱에서 다크모드는 어떻게 설정하나요? 확인 부탁드립니다.,기타
TR00119,수고 많으세요. 필터는 어디서 따로 구매하나요? 교체 주기는 얼마예요?,상품정보
TR00120,배송 시작 전에 취소 부탁드려요. 급하게 처리해 주세요. 감사합니다.,취소
TR00121,안녕하세요. 휴대폰 소액결제 한도가 초과됐다는데 다른 방법은 없나요? 빠른 답변 부탁드려요.,주문결제
TR00122,색상이 화면이랑 너무 달라서 반품할게요.,반품
TR00123,장바구니에 잘못 담긴 게 결제돼서 바로 취소하려고요.,취소
TR00124,수고 많으세요. 탈퇴했다가 다시 가입하면 예전 등급이 유지되나요? 확인 부탁드립니다.,회원멤버십
TR00125,수고 많으세요. 주문한 것과 다른 상품이 와서 반품 신청하고 싶어요. 감사합니다.,반품
TR00126,문의드립니다. 건조기에 돌려도 줄어들지 않나요?,상품정보
TR00127,수고 많으세요. 새벽배송 되는 지역인지 우편번호로 확인해 주실 수 있어요? 빠른 답변 부탁드려요.,배송문의
TR00128,배송이 너무 오래 걸려서 그냥 주문 자체를 취소하고 싶어요. 빠른 답변 부탁드려요.,취소
TR00129,현금영수증 신청을 깜빡했는데 사후 발급 가능한가요?,주문결제
TR00130,문의드립니다. 이 화장품 성분에 향료가 들어 있나요? 민감성 피부라서요. 빠른 답변 부탁드려요.,상품정보
TR00131,수고 많으세요. 재입고됐다고 알림 받고 들어왔는데 벌써 또 품절이네요. 감사합니다.,재입고
TR00132,재입고되면 가격이 오르나요? 지금이랑 같은 가격일까요? 확인 부탁드립니다.,재입고
TR00133,문의드립니다. 현관 앞 말고 택배함에 넣어달라고 요청할 수 있나요? 감사합니다.,배송문의
TR00134,가지고 있는 쿠폰이 결제창에서 적용이 안 돼요. 왜 그럴까요? 감사합니다.,주문결제
TR00135,안녕하세요. 반품 다 됐는데 배송비가 차감돼서 환불됐네요. 왜 그런가요? 빠른 답변 부탁드려요.,환불
TR00136,반품 다 됐는데 배송비가 차감돼서 환불됐네요. 왜 그런가요? 빠른 답변 부탁드려요.,환불
TR00137,수고 많으세요. 무통장입금 가상계좌 입금기한이 지났는데 재발급 가능해요? 확인 부탁드립니다.,주문결제
TR00138,안녕하세요. 차전자 밀대 청소포 리필 100매 품절이던데 재입고 계획 있는지 궁금해요. 확인 부탁드립니다.,재입고
TR00139,수고 많으세요. 회원정보에 주소를 여러 개 저장해둘 수 있나요?,회원멤버십
TR00140,수고 많으세요. 배송지가 잘못돼서 그냥 취소하고 새로 주문하는 게 빠를까요? 확인 부탁드립니다.,취소
TR00141,안녕하세요. 기프트카드로 산 건데 환불도 기프트카드로만 되나요?,환불
TR00142,특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요. 빠른 답변 부탁드려요.,재입고
TR00143,전에 쓰던 제품이랑 호환되는 규격인지 확인하고 싶어요. 감사합니다.,상품정보
TR00144,수고 많으세요. 카드 승인은 났는데 주문이 실패라고 떠요. 중복결제 된 건 아니죠? 빠른 답변 부탁드려요.,주문결제
TR00145,수고 많으세요. 결제일이랑 환불일이 다른 달인데 카드값에 어떻게 반영돼요? 빠른 답변 부탁드려요.,환불
TR00146,안녕하세요. 배송 출발하면 문자로 알림 받을 수 있나요?,배송문의
TR00147,주말에도 배송되나요? 토요일에 받아야 해서요. 확인 부탁드립니다.,배송문의
TR00148,수고 많으세요. 회사 단체주문인데 한 건 잘못 들어가서 그 건만 취소 부탁드려요. 빠른 답변 부탁드려요.,취소
TR00149,문의드립니다. 무통장입금 가상계좌 입금기한이 지났는데 재발급 가능해요? 감사합니다.,주문결제
TR00150,주문한 상품 중에 하나만 빼고 나머지는 취소하고 싶어요. 빠른 답변 부탁드려요.,취소
TR00151,문의드립니다. 사이즈별 실측 정보가 어디에 나와 있나요?,상품정보
TR00152,문의드립니다. 광고 문자 수신 거부하고 싶은데 어떻게 하나요? 감사합니다.,기타
TR00153,수고 많으세요. 배송지가 잘못돼서 그냥 취소하고 새로 주문하는 게 빠를까요?,취소
TR00154,주문한 상품 중에 하나만 빼고 나머지는 취소하고 싶어요. 확인 부탁드립니다.,취소
TR00155,문의드립니다. 교환할 상품 회수는 언제 오고 새 상품은 언제 받을 수 있나요?,교환
TR00156,문의드립니다. 오프라인 매장도 있나요? 직접 보고 사고 싶어서요. 확인 부탁드립니다.,기타
TR00157,"수고 많으세요. 세탁기로 돌려도 되나요, 손세탁만 해야 하나요? 감사합니다.",상품정보
TR00158,수고 많으세요. 세금계산서 발행도 가능한가요? 사업자로 구매하려고요. 확인 부탁드립니다.,기타
TR00159,재입고되면 가격이 오르나요? 지금이랑 같은 가격일까요? 빠른 답변 부탁드려요.,재입고
TR00160,회원 등급별 혜택을 한눈에 볼 수 있는 페이지가 있나요? 감사합니다.,회원멤버십
TR00161,단순 변심인데 반품 가능한가요? 배송비는 제가 부담하는 거죠? 감사합니다.,반품
TR00162,수고 많으세요. 현금영수증 발급된 건인데 환불하면 그것도 취소되나요? 감사합니다.,환불
TR00163,사이즈별 실측 정보가 어디에 나와 있나요?,상품정보
TR00164,수고 많으세요. 택배 박스가 찌그러져서 왔는데 안에 내용물은 괜찮을지 걱정돼요. 확인 부탁드립니다.,배송문의
TR00165,예약 주문한 건데 출시 전에 취소도 가능한가요? 감사합니다.,취소
TR00166,문의드립니다. 배송완료라고 뜨는데 문 앞에 물건이 없어요. 분실된 것 같아요. 빠른 답변 부탁드려요.,배송문의
TR00167,"수고 많으세요. 재입고되면 따로 연락 주시나요, 아니면 알림이 오나요?",재입고
TR00168,"안녕하세요. 같은 가격대 다른 모델로도 교환이 되나요, 아니면 동일상품만 되나요? 감사합니다.",교환
TR00169,문의드립니다. 결제만 하고 아직 아무 진행 없으면 위약금 없이 취소되죠?,취소
TR00170,카드 할부로 샀는데 환불하면 할부도 자동으로 취소되나요?,환불
TR00171,배송 시작 전에 취소 부탁드려요. 급하게 처리해 주세요. 확인 부탁드립니다.,취소
TR00172,"안녕하세요. 재입고 알림은 앱 푸시로 오나요, 문자로 오나요? 빠른 답변 부탁드려요.",재입고
TR00173,문의드립니다. 유통기한이 임박한 게 와서 반품하고 싶은데 가능할까요?,반품
TR00174,문의드립니다. 반품 말고 그냥 맞는 사이즈로 바꾸기만 하고 싶어요.,교환
TR00175,프린트가 비뚤게 인쇄돼서 멀쩡한 걸로 교환해 주세요. 감사합니다.,교환
TR00176,받은 색상이 칙칙해서 사진 속 색상 옵션으로 바꾸고 싶어요. 감사합니다.,교환
TR00177,안녕하세요. 아직 상품 준비중이던데 지금 취소하면 바로 되나요? 확인 부탁드립니다.,취소
TR00178,이 운동화 쿠션감이 좋은 편인가요? 오래 걸어도 편한지요. 확인 부탁드립니다.,상품정보
TR00179,안녕하세요. 환불 처리 상태를 어디서 확인할 수 있나요? 빠른 답변 부탁드려요.,환불
TR00180,수고 많으세요. 재입고됐다고 알림 받고 들어왔는데 벌써 또 품절이네요.,재입고
TR00181,휴대폰 소액결제 한도가 초과됐다는데 다른 방법은 없나요? 확인 부탁드립니다.,주문결제
TR00182,수고 많으세요. 가지고 있는 쿠폰이 결제창에서 적용이 안 돼요. 왜 그럴까요?,주문결제
TR00183,수고 많으세요. S로 받았는데 M으로 교환 가능할까요? 추가 비용 있나요? 감사합니다.,교환
TR00184,수고 많으세요. 장바구니에서 결제하려는데 자꾸 오류 페이지로 넘어가요. 확인 부탁드립니다.,주문결제
TR00185,문의드립니다. 이 색상은 시즌 한정이라 재입고가 아예 안 되는 건가요?,재입고
TR00186,받는 사람 이름을 다르게 적었는데 그대로 배송되나요? 빠른 답변 부탁드려요.,배송문의
TR00187,수고 많으세요. 세금계산서 발행도 가능한가요? 사업자로 구매하려고요.,기타
TR00188,단순 변심 반품인데 반품 배송비가 얼마나 차감되나요? 빠른 답변 부탁드려요.,반품
TR00189,수고 많으세요. 현관 앞 말고 택배함에 넣어달라고 요청할 수 있나요? 확인 부탁드립니다.,배송문의
TR00190,문의드립니다. 단순 변심 반품인데 반품 배송비가 얼마나 차감되나요?,반품
TR00191,문의드립니다. 품절 임박이라고 떠 있는데 추가 입고 예정 있나요? 확인 부탁드립니다.,재입고
TR00192,문의드립니다. 색은 마음에 드는데 기장이 길어서 짧은 옵션으로 교환되나요? 감사합니다.,교환
TR00193,안녕하세요. 한 번에 다 품절돼서 그러는데 보통 얼마 만에 다시 채워지나요? 확인 부탁드립니다.,재입고
TR00194,안녕하세요. 배송이 너무 오래 걸려서 그냥 주문 자체를 취소하고 싶어요. 확인 부탁드립니다.,취소
TR00195,수고 많으세요. 결제만 하고 아직 아무 진행 없으면 위약금 없이 취소되죠? 확인 부탁드립니다.,취소
TR00196,색상이 모니터마다 다르게 보이던데 실제 톤이 어떤가요? 감사합니다.,상품정보
TR00197,안녕하세요. 색은 마음에 드는데 기장이 길어서 짧은 옵션으로 교환되나요?,교환
TR00198,수고 많으세요. 주문서에서 수량을 잘못 넣어 결제됐어요. 금액 정정이 되나요? 감사합니다.,주문결제
TR00199,안녕하세요. 배송이 너무 오래 걸려서 그냥 주문 자체를 취소하고 싶어요. 빠른 답변 부탁드려요.,취소
TR00200,문의드립니다. 알러지가 있는데 소재에 라텍스나 금속 성분 들어가나요?,상품정보
TR00201,안녕하세요. 결제할 때 입력한 배송메모가 사라졌는데 다시 등록되나요? 빠른 답변 부탁드려요.,주문결제
TR00202,문의드립니다. 결제 취소하고 싶은데 어디서 하면 되나요? 감사합니다.,취소
TR00203,수고 많으세요. 결제 취소하고 싶은데 어디서 하면 되나요? 확인 부탁드립니다.,취소
TR00204,문의드립니다. 재입고 알림 신청했는데 알림이 안 와요. 확인 부탁드려요. 감사합니다.,재입고
TR00205,문의드립니다. 부분 반품했는데 그만큼만 환불되는 게 맞나요? 금액이 이상해요. 감사합니다.,환불
TR00206,안녕하세요. 받는 사람 이름을 다르게 적었는데 그대로 배송되나요?,배송문의
TR00207,전압이 220V 맞나요? 해외에서도 쓸 수 있는지 궁금해요. 감사합니다.,상품정보
TR00208,문의드립니다. 주문한 상품 중에 하나만 빼고 나머지는 취소하고 싶어요.,취소
TR00209,부분 반품했는데 그만큼만 환불되는 게 맞나요? 금액이 이상해요. 감사합니다.,환불
TR00210,무통장입금 했는데 입금확인이 아직도 안 됐다고 나와요.,주문결제
TR00211,안녕하세요. 세금계산서 발행되나요? 결제할 때 사업자 정보 넣는 데가 없어요.,주문결제
TR00212,보증 기간이 얼마이고 AS는 어디서 받나요? 감사합니다.,상품정보
TR00213,문의드립니다. 포인트가 분명 있는데 결제할 때 사용 가능 금액이 0으로 떠요. 빠른 답변 부탁드려요.,주문결제
TR00214,문의드립니다. 휴면계정으로 전환됐다는데 다시 활성화하려면 어떻게 하나요?,회원멤버십
TR00215,문의드립니다. 이사 가서 주소가 바뀌었는데 출고 전에 변경 부탁드려요. 빠른 답변 부탁드려요.,배송문의
TR00216,문의드립니다. 특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요. 감사합니다.,재입고
TR00217,안녕하세요. 유통기한이 임박한 게 와서 반품하고 싶은데 가능할까요? 빠른 답변 부탁드려요.,반품
TR00218,쿠폰함에 있던 쿠폰이 사라졌는데 만료된 건가요? 빠른 답변 부탁드려요.,회원멤버십
TR00219,문의드립니다. 특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요. 확인 부탁드립니다.,재입고
TR00220,문의드립니다. 인플루언서 협찬 문의는 어느 부서로 해야 하나요?,기타
TR00221,로그인하면 자꾸 다른 사람 정보가 떠요. 계정이 섞인 것 같아요. 빠른 답변 부탁드려요.,회원멤버십
TR00222,안녕하세요. 극세사 발매트 2P 품절이던데 재입고 계획 있는지 궁금해요.,재입고
TR00223,수고 많으세요. 가지고 있는 쿠폰이 결제창에서 적용이 안 돼요. 왜 그럴까요? 감사합니다.,주문결제
TR00224,수고 많으세요. 냄새가 너무 심해서 못 쓰겠어요. 반품 처리해 주세요. 빠른 답변 부탁드려요.,반품
TR00225,수고 많으세요. 주문번호로 실시간 배송 위치 확인할 수 있는 링크 있을까요? 빠른 답변 부탁드려요.,배송문의
TR00226,장바구니에서 결제하려는데 자꾸 오류 페이지로 넘어가요. 확인 부탁드립니다.,주문결제
TR00227,문의드립니다. 이번 달에 등급이 올랐는데 추가 할인 혜택은 어떻게 적용돼요?,회원멤버십
TR00228,안녕하세요. 엘리베이터 공사 중이라 1층에 두고 가시라고 메모 남길 수 있나요?,배송문의
TR00229,문의드립니다. 린넨 뷔스티에 원피스 품절이던데 재입고 계획 있는지 궁금해요. 감사합니다.,재입고
TR00230,문의드립니다. 상품 관련 제휴 제안을 드리고 싶은데 메일 주소 알 수 있을까요? 감사합니다.,기타
TR00231,문의드립니다. S로 받았는데 M으로 교환 가능할까요? 추가 비용 있나요?,교환
TR00232,장바구니에서 결제하려는데 자꾸 오류 페이지로 넘어가요. 빠른 답변 부탁드려요.,주문결제
TR00233,주문 직후인데 결제 취소 처리하면 카드 승인도 같이 취소되나요?,취소
TR00234,이메일 수신 동의를 바꾸고 싶은데 어디서 설정하나요? 빠른 답변 부탁드려요.,회원멤버십
TR00235,문의드립니다. 선물포장 서비스 되나요? 메시지 카드도 넣을 수 있어요?,기타
TR00236,수고 많으세요. 친구 추천 코드는 어디에 입력하고 혜택은 뭔가요?,회원멤버십
TR00237,문의드립니다. 해외카드로도 결제가 되나요? 자꾸 승인 거절이 떠요.,주문결제
TR00238,한 번에 다 품절돼서 그러는데 보통 얼마 만에 다시 채워지나요? 빠른 답변 부탁드려요.,재입고
TR00239,사이즈가 안 맞아서 한 치수 큰 걸로 교환하고 싶어요. 확인 부탁드립니다.,교환
TR00240,안녕하세요. 구성품 중 하나가 빠져서 왔는데 이 경우도 반품되나요?,반품
TR00241,안녕하세요. 지금 취소 누르면 적립금이랑 쿠폰은 다시 복구되나요?,취소
TR00242,문의드립니다. 회원 등급별 혜택을 한눈에 볼 수 있는 페이지가 있나요? 감사합니다.,회원멤버십
TR00243,안녕하세요. 회사로 배송지 바꾸고 싶은데 이미 상품 준비중이면 안 되나요? 빠른 답변 부탁드려요.,배송문의
TR00244,문의드립니다. 특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요.,재입고
TR00245,안녕하세요. 작동이 안 되는 불량이라 반품하려는데 어떤 증빙이 필요한가요? 감사합니다.,반품
TR00246,안녕하세요. 회원 등급이 강등됐는데 기준이 어떻게 되는 건가요?,회원멤버십
TR00247,결제는 됐는데 재고가 없다고 다시 연락이 왔어요. 어떻게 되나요?,주문결제
TR00248,문의드립니다. 구매한 상품으로 콘텐츠 만들어도 저작권 문제 없나요? 확인 부탁드립니다.,기타
TR00249,문의드립니다. 방수 되는 제품인가요? 야외에서 써도 괜찮을까요? 빠른 답변 부탁드려요.,상품정보
TR00250,받아보니 생각보다 커서 반품하고 싶어요. 어떻게 신청하나요?,반품
TR00251,수고 많으세요. 포인트가 분명 있는데 결제할 때 사용 가능 금액이 0으로 떠요. 확인 부탁드립니다.,주문결제
